type_elec,year,month,Código de la candidatura,Siglas de la candidatura,Denominación de la candidatura,Código de la candidatura cabecera de acumulación a nivel provincial,Código de la candidatura cabecera de acumulación a nivel autonómico,Código de la candidatura cabecera de acumulación a nivel nacional
2,1982,10,1,AC-CC,ASAMBLEA CANARIA - COORDINADORA CANARIA,1,1,1
2,1982,10,2,ACI,AGRUPACION CIUDADANA INDEPENDIENTE,2,2,2
2,1982,10,3,AEBA,AGRUPACION ELECTORAL BLOQUE AGRARIO,3,3,3
2,1982,10,4,AEGI,AGRUPACION ELECTORAL GALLEGA INDEPENDIENTE,4,4,4
2,1982,10,5,AP-PDP,ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR,5,5,5
2,1982,10,6,AP-PDP-PAR,ALIANZA POP.-P.DEMOC.POPULAR-P.ARAGONES REGIONAL.,6,6,5
2,1982,10,7,AP-PDP-PDL-,ALIANZA POP.-P.DEMOC.POPULAR-P.DEMOC.LIBERAL-UCD,7,7,5
2,1982,10,8,AP-PDP-UV,ALIANZA POP.-P.DEMOC.POPULAR-UNION VALENCIANA,8,8,5
2,1982,10,9,ASDC,ASOCIACION SOCIALDEMOCRATA CANARIA,9,9,9
2,1982,10,10,B-PSG,BLOQUE PSG,10,10,10
2,1982,10,11,BIA,BLOQUE DE IZQUIERDA ASTURIANA,11,11,11
2,1982,10,12,CC,CONSERVADORS DE CATALUNYA,12,12,12
2,1982,10,13,CC,CONVERGENCIA CANARIA,13,13,13
2,1982,10,14,CC-UCD,CENTRISTES DE CATALUNYA,14,14,81
2,1982,10,15,CDS,CENTRO DEMOCRATICO Y SOCIAL,15,15,15
2,1982,10,16,CE-FCC,COALICION ELECTORAL FRONT COMUNISTA DE CATALUNYA,16,16,16
2,1982,10,17,CIR,COORDINADORA DE LA IZQUIERDA RIOJANA,17,17,17
2,1982,10,18,CIU,CONVERGENCIA I UNIO,18,18,18
2,1982,10,19,CUC,CANDIDATURA DE UNIDAD COMUNISTA,19,19,19
2,1982,10,20,EAJ-PNV,PARTIDO NACIONALISTA VASCO-EUZKO ALDERDI JELTZALEA,20,20,20
2,1982,10,21,EE,EUSKADIKO EZKERRA - IZQUIERDA PARA EL SOCIALISMO,21,21,21
2,1982,10,22,EG,ESQUERDA GALEGA,22,22,22
2,1982,10,23,EM,AGRUPACION DE ELECTORES ESQUERRA MALLORQUINA,23,23,23
2,1982,10,24,EMK,MOVIMIENTO COMUNISTA DE EUSKADI,24,24,39
2,1982,10,25,ENV-URV,ESQUERRA NACIONALISTA VALENCIANA,25,25,25
2,1982,10,26,ERC,ESQUERRA REPUBLICANA DE CATALUNYA,26,26,26
2,1982,10,27,EU,EXTREMADURA UNIDA,27,27,27
2,1982,10,28,EUPV,ESQUERRA UNIDA DEL PAIS VALENCIA,28,28,28
2,1982,10,29,FA,FALANGE ASTURIANA,29,29,29
2,1982,10,30,FE-I,FALANGE ESPAÃOLA INDEPENDIENTE,0,30000,30000
2,1982,10,31,FE-JONS,FALANGE ESPAÃOLA DE LAS JONS,0,31000,31000
2,1982,10,32,FIC,FRENTE DE IZQUIERDA COMUNISTA,32,32,32
2,1982,10,33,FN,ASOCIACION POLITICA FUERZA NUEVA,33,33,33
2,1982,10,34,HB,AGRUPACION ELECTORES HERRI BATASUNA,34,34,34
2,1982,10,35,IDG,INDEPENDIENTES Y EMIGRANTES DE GALICIA,35,35,35
2,1982,10,36,IR,IZQUIERDA REPUBLICANA,36,36,36
2,1982,10,37,LC (COSI),LIGA COMUNISTA (C.OBREROS SOCIAL.INTERNACIONALIS.),37,37,37
2,1982,10,38,LCR,LIGA COMUNISTA REVOLUCIONARIA,38,38,39
2,1982,10,39,LCR-MC,COALICION ELECTORAL IZQUIERDA COMUNISTA,39,39,39
2,1982,10,40,LKI,LIGA COMUNISTA IRAULTZAILEA,40,40,39
2,1982,10,41,M.CAT.E,MOVIMIENTO CATOLICO ESPAÃOL,0,41000,41000
2,1982,10,42,MC,MOVIMIENTO COMUNISTA,42,42,39
2,1982,10,43,MC-C-L,MOVIMIENTO COMUNISTA DE CASTILLA-LEON,43,43,39
2,1982,10,44,MCA,MOVIMIENTO COMUNISTA DE ANDALUCIA,44,44,39
2,1982,10,45,MCE,MOVIMIENTO COMUNISTA DE EXTREMADURA,45,45,39
2,1982,10,46,MCRM,MOVIMIENTO COMUNISTA DE LA REGION MURCIANA,46,46,39
2,1982,10,47,MFE,MOVIMIENTO FALANGISTA DE ESPAÃA,0,47000,47000
2,1982,10,48,NE,NACIONALISTES D'ESQUERRA,48,48,48
2,1982,10,49,PADL,PARTIDO ASTURIANO DEMOCRATA LIBERAL,49,49,49
2,1982,10,50,PAE,PARTIDO AGRARIO ESPAÃOL,0,50000,50000
2,1982,10,51,PC,PARTIDO CARLISTA,51,51,51
2,1982,10,52,PCA-PCE,PARTIDO COMUNISTA DE ARAGON-PCE,52,52,55
2,1982,10,53,PCA-PCE,PARTIDO COMUNISTA DE ANDALUCIA-PCE,53,53,55
2,1982,10,54,PCC,PARTIT DELS COMUNISTES DE CATALUNYA,54,54,54
2,1982,10,55,PCE,PARTIDO COMUNISTA DE ESPAÃA,0,55000,55000
2,1982,10,56,PCE (M-L),PARTIDO COMUNISTA DE ESPAÃA (MARXISTA-LENINISTA),0,56000,56000
2,1982,10,57,PCE-EPK,P.COMUNISTA DE EUSKADI-EUSKADIKO PARTIDO KOMUNIS,57,57,55
2,1982,10,58,PCE-PCG,PARTIDO COMUNISTA DE GALICIA,58,58,55
2,1982,10,59,PCE-PV,P.COMUNISTA DE ESPAÃA-P.COMUN.DEL PAIS VALENCIA,0,59000,59000
2,1982,10,60,PCOC,PARTIT COMUNISTA OBRER DE CATALUNYA,60,60,61
2,1982,10,61,PCOE,PARTIDO COMUNISTA OBRERO ESPAÃOL,0,61000,61000
2,1982,10,62,PCU,PUEBLO CANARIO UNIDO,62,62,62
2,1982,10,63,PDB,PARTIDO DE EL BIERZO,63,63,63
2,1982,10,64,PNC,PARTIDO NACIONALISTA CANARIO,64,64,64
2,1982,10,65,PNC,PARTIDO NACIONALISTA CEUTI,65,65,65
