type_elec,year,month,round (en procesos a una sola vuelta = 1),Código I.N.E. de la provincia,Código I.N.E. del municipio,Número de distrito municipal en su caso o 99 si es el total municipal,Código de la candidatura o del Senador,Votos obtenidos por la candidatura,Número de candidatos obtenidos por la candidatura
2,1982,10,1,1,1,99,7,87,0
2,1982,10,1,1,1,99,15,9,0
2,1982,10,1,1,1,99,19,2,0
2,1982,10,1,1,1,99,20,169,0
2,1982,10,1,1,1,99,21,38,0
2,1982,10,1,1,1,99,24,0,0
2,1982,10,1,1,1,99,33,0,0
2,1982,10,1,1,1,99,34,21,0
2,1982,10,1,1,1,99,37,0,0
2,1982,10,1,1,1,99,40,0,0
2,1982,10,1,1,1,99,56,4,0
2,1982,10,1,1,1,99,57,11,0
2,1982,10,1,1,1,99,69,0,0
2,1982,10,1,1,1,99,74,210,0
2,1982,10,1,1,1,99,78,4,0
2,1982,10,1,1,1,99,80,1,0
2,1982,10,1,1,1,99,82,0,0
2,1982,10,1,1,2,99,7,640,0
2,1982,10,1,1,2,99,15,86,0
2,1982,10,1,1,2,99,19,7,0
2,1982,10,1,1,2,99,20,1759,0
2,1982,10,1,1,2,99,21,387,0
2,1982,10,1,1,2,99,24,0,0
2,1982,10,1,1,2,99,33,8,0
2,1982,10,1,1,2,99,34,653,0
2,1982,10,1,1,2,99,37,0,0
2,1982,10,1,1,2,99,40,0,0
2,1982,10,1,1,2,99,56,0,0
2,1982,10,1,1,2,99,57,46,0
2,1982,10,1,1,2,99,69,0,0
2,1982,10,1,1,2,99,74,1287,0
2,1982,10,1,1,2,99,78,31,0
2,1982,10,1,1,2,99,80,2,0
2,1982,10,1,1,2,99,82,2,0
2,1982,10,1,1,3,99,7,35,0
2,1982,10,1,1,3,99,15,3,0
2,1982,10,1,1,3,99,19,0,0
2,1982,10,1,1,3,99,20,526,0
2,1982,10,1,1,3,99,21,40,0
2,1982,10,1,1,3,99,24,0,0
2,1982,10,1,1,3,99,33,0,0
2,1982,10,1,1,3,99,34,191,0
2,1982,10,1,1,3,99,37,0,0
2,1982,10,1,1,3,99,40,0,0
2,1982,10,1,1,3,99,56,1,0
2,1982,10,1,1,3,99,57,3,0
2,1982,10,1,1,3,99,69,0,0
2,1982,10,1,1,3,99,74,52,0
2,1982,10,1,1,3,99,78,2,0
2,1982,10,1,1,3,99,80,0,0
2,1982,10,1,1,3,99,82,0,0
2,1982,10,1,1,4,99,7,203,0
2,1982,10,1,1,4,99,15,9,0
2,1982,10,1,1,4,99,19,0,0
2,1982,10,1,1,4,99,20,239,0
2,1982,10,1,1,4,99,21,13,0
2,1982,10,1,1,4,99,24,0,0
