type_elec,year,month,round (en procesos a una sola vuelta = 1) o Número de pregunta en Referéndum,"Código de la Comunidad Autónoma. En el caso de Total Nacional, llevará 99",Código I.N.E. de la provincia o 99 si se trata de datos a nivel Total Comunidad o Total Nacional,"Código del Distrito Electoral que corresponda o 9 en datos a nivel Total Provincial, Comunidad o Nacional",Nombre del ámbito territorial,Población de derecho,Número de mesas,Censo del I.N.E.,Censo de escrutinio,Censo C.E.R.E. en escrutinio (Residentes Extranjeros),Total votantes C.E.R.E. (Residentes Extranjeros),Votantes del primer avance de participación,Votantes del segundo avance de participación,Votos en blanco,Votos nulos,Votos a candidaturas,Número de ‘Escaños’ a distribuir cuando el ámbito coincida con la circunscripción electoral o Total de ‘Escaños’ distribuidos en el ámbito. Ceros en el caso de que el ámbito sea inferior a la circunscripción electoral,Votos afirmativos en Referéndum o ceros en otros procesos electorales,Votos negativos en Referéndum o ceros en otros procesos electorales,Datos oficiales (Si/No)
2,1982,10,1,2,50,9,Zaragoza,826766,1066,617130,617130,0,0,239323,422425,3276,15448,494726,8,0,0,N
2,1982,10,1,3,33,9,Oviedo,1129556,1286,853981,853981,0,0,384291,555088,2799,11332,648579,10,0,0,N
2,1982,10,1,8,24,9,LeÃ³n,520,64100,62600397,47000397,47000000,0,179,77600254,77800001,89900008,48400295,834000,600000,0,0
2,1982,10,1,11,27,9,Lugo,400881,453,319960,319960,0,0,103059,143982,1196,3057,190387,5,0,0,N
2,1982,10,1,12,28,9,Madrid,4686832,5730,3274966,3274966,0,0,1185538,2152963,11826,52635,2750837,32,0,0,N
2,1982,10,1,12,99,9,Comunidad de Madrid,4686832,5730,3274966,3274966,0,0,1185538,2152963,11826,52635,2750837,32,0,0,N
2,1982,10,1,14,99,9,PaÃ­s Vasco,2138,17002,21701538,13301538,13300000,0,661,85900962,40500005,80900024,88801189,672000,2100000,0,0
2,1982,10,1,16,26,9,La Rioja,254187,346,190204,190204,0,0,90347,127056,1086,3971,154909,4,0,0,N
2,1982,10,1,1,23,9,JaÃ©n,638,80700,78000448,57300448,57300000,0,181,89600269,23400000,60400003,65100363,117000,700000,0,0
2,1982,10,1,3,99,9,Principado de Asturias,1129556,1286,853981,853981,0,0,384291,555088,2799,11332,648579,10,0,0,N
2,1982,10,1,5,99,9,Canarias,1364431,1092,885850,885850,0,0,302190,497407,3194,19475,650538,13,0,0,N
2,1982,10,1,8,47,9,Valladolid,481470,516,343171,343171,0,0,183596,240220,2150,8521,279175,5,0,0,N
2,1982,10,1,19,99,9,Ciudad de Melilla,53593,36,30107,30107,0,0,12515,18203,152,218,20854,1,0,0,N
2,1982,10,1,8,42,9,Soria,100690,228,78871,78871,0,0,39664,55241,769,2228,60461,3,0,0,N
2,1982,10,1,8,49,9,Zamora,227771,428,180190,180190,0,0,90870,125683,1368,6715,131110,4,0,0,N
2,1982,10,1,9,25,9,LÃ©rida,352,65700,43400268,20500268,20500000,0,96,82200156,57800000,83300002,41200200,158000,400000,0,0
2,1982,10,1,14,48,9,Vizcaya,1186507,1175,854204,854204,0,0,338265,510814,3318,14728,661252,10,0,0,N
2,1982,10,1,15,99,9,RegiÃ³n de Murcia,948,14100,85800656,5200656,5200000,0,272,72100424,20300001,85400008,19700531,107000,800000,0,0
2,1982,10,1,1,14,9,CÃ³rdoba,710,19300,67400513,52100513,52100000,0,216,70600330,70800005,26400008,87500420,133000,700000,0,0
2,1982,10,1,1,29,9,MÃ¡laga,1003,23400,69800688,9100688,9100000,0,261,47500414,91900001,40100005,54100506,859000,800000,0,0
2,1982,10,1,7,2,9,Albacete,339373,431,240155,240155,0,0,110471,194526,861,4110,192021,4,0,0,N
2,1982,10,1,11,15,9,La CoruÃ±a,1092,94001,11100804,46100804,46100000,0,243,67100395,71400002,70800009,28100511,30000,900000,0,0
2,1982,10,1,7,45,9,Toledo,473948,436,346764,346764,0,0,168077,242978,997,7035,292305,5,0,0,N
2,1982,10,1,10,6,9,Badajoz,639332,681,460056,460056,0,0,188163,286155,1530,6288,363667,7,0,0,N
2,1982,10,1,11,36,9,Pontevedra,882940,838,619714,619714,0,0,176990,285626,1997,7429,412471,8,0,0,N
2,1982,10,1,17,99,9,Comunitat Valenciana,3644304,3080,2564217,2564217,0,0,968657,1683321,8561,49090,2097049,29,0,0,N
2,1982,10,1,18,51,9,Ceuta,65264,36,36128,36128,0,0,15148,22558,119,427,25571,1,0,0,N
2,1982,10,1,1,21,9,Huelva,413100,402,288285,288285,0,0,119638,181274,563,3019,219488,5,0,0,N
2,1982,10,1,1,99,9,AndalucÃ­a,6392,11606,10604400,60404400,60400000,0,1703,62702645,4700013,99600049,86303401,823000,5900000,0,0
2,1982,10,1,2,99,9,AragÃ³n,1192,59501,74500904,58200904,58200000,0,370,64500614,93900004,73000022,29500718,537000,1400000,0,0
2,1982,10,1,7,13,9,Ciudad Real,475226,481,342009,342009,0,0,145696,225384,1062,5152,279112,5,0,0,N
2,1982,10,1,14,20,9,GuipÃºzcoa,694,68100,77400500,82000500,82000000,0,225,31900326,98500001,65700006,57700383,3000,700000,0,0
2,1982,10,1,1,41,9,Sevilla,1476713,1564,1002070,1002070,0,0,388703,599238,2271,12322,798724,12,0,0,N
2,1982,10,1,8,34,9,Palencia,188382,367,140896,140896,0,0,67137,95668,678,2248,115203,3,0,0,N
2,1982,10,1,8,99,9,Castilla y LeÃ³n,2575,66404,1701942,39501942,39500000,0,945,1301309,16900011,60600043,63701511,588000,3500000,0,0
2,1982,10,1,9,8,9,Barcelona,4599664,4782,3331611,3331611,0,0,1365961,2232179,10818,33875,2671596,33,0,0,N
2,1982,10,1,14,1,9,Ãlava,256,98200,26800183,10900183,10900000,0,98,27500124,60600000,83400003,58300145,417000,400000,0,0
2,1982,10,1,7,19,9,Guadalajara,143290,356,108116,108116,0,0,34597,60545,693,1564,88917,3,0,0,N
2,1982,10,1,8,37,9,Salamanca,364482,561,277215,277215,0,0,133202,176309,1599,5977,216883,4,0,0,N
2,1982,10,1,15,30,9,Murcia,948141,858,656052,656052,0,0,272721,424203,1854,8197,531107,8,0,0,N
2,1982,10,1,17,3,9,Alicante,1149178,956,787709,787709,0,0,300905,610474,2920,13805,648463,9,0,0,N
2,1982,10,1,17,46,9,Valencia,2065242,1697,1462208,1462208,0,0,565290,868552,4552,27549,1187293,15,0,0,N
2,1982,10,1,5,35,9,Las Palmas,705604,511,451580,451580,0,0,159272,242273,1748,11574,333551,6,0,0,N
2,1982,10,1,17,12,9,CastellÃ³n,429,88400,42700314,30000314,30000000,0,102,46200204,29500001,8900007,73600261,293000,500000,0,0
2,1982,10,1,1,18,9,Granada,757536,665,532882,532882,0,0,177130,304276,1079,3905,404125,7,0,0,N
2,1982,10,1,8,40,9,Segovia,148347,262,112316,112316,0,0,51531,74690,919,2115,91700,3,0,0,N
2,1982,10,1,2,22,9,Huesca,213232,370,166852,166852,0,0,76919,112291,827,5080,129660,3,0,0,N
2,1982,10,1,2,44,9,Teruel,152597,309,120600,120600,0,0,54403,80223,627,1767,94151,3,0,0,N
2,1982,10,1,9,17,9,Gerona,456274,616,338724,338724,0,0,142603,214751,962,4987,266150,5,0,0,N
2,1982,10,1,10,10,9,CÃ¡ceres,421,45300,41400305,67200305,67200000,0,146,63100161,8900000,76400005,6800235,104000,500000,0,0
2,1982,10,1,99,99,9,Total nacional,37520072,40815,26846940,26846940,0,0,10671403,16861705,98438,419236,20951600,350,0,0,N
2,1982,10,1,4,99,9,Illes Balears,655909,688,466909,466909,0,0,177425,284814,2148,15791,354391,6,0,0,N
2,1982,10,1,5,38,9,Santa Cruz de Tenerife,658827,581,434270,434270,0,0,142918,255134,1446,7901,316987,7,0,0,N
2,1982,10,1,6,39,9,Cantabria,513009,493,376712,376712,0,0,173288,256164,1768,9250,300397,5,0,0,N
2,1982,10,1,8,9,9,Burgos,360693,714,273611,273611,0,0,134069,186055,1667,4965,210147,4,0,0,N
2,1982,10,1,11,32,9,Orense,430030,465,329847,329847,0,0,106870,132203,652,2283,178569,5,0,0,N
2,1982,10,1,16,99,9,La Rioja,254187,346,190204,190204,0,0,90347,127056,1086,3971,154909,4,0,0,N
2,1982,10,1,1,11,9,CÃ¡diz,982,13800,90300650,90600650,90600000,0,264,700390,73900001,42100007,88000483,208000,800000,0,0
2,1982,10,1,6,99,9,Cantabria,513009,493,376712,376712,0,0,173288,256164,1768,9250,300397,5,0,0,N
2,1982,10,1,7,99,9,Castilla - La Mancha,1644200,2001,1199675,1199675,0,0,531911,829029,4330,20258,984416,21,0,0,N
2,1982,10,1,8,5,9,Ãvila,183,18800,31500138,65500138,65500000,0,65,16800100,52500000,55700002,38400111,75000,300000,0,0
2,1982,10,1,4,7,9,Baleares,655909,688,466909,466909,0,0,177425,284814,2148,15791,354391,6,0,0,N
2,1982,10,1,7,16,9,Cuenca,212363,297,162631,162631,0,0,73070,105596,717,2397,132061,4,0,0,N
2,1982,10,1,19,52,9,Melilla,53593,36,30107,30107,0,0,12515,18203,152,218,20854,1,0,0,N
2,1982,10,1,9,43,9,Tarragona,513050,581,372329,372329,0,0,134448,225259,1115,5547,286074,5,0,0,N
2,1982,10,1,13,99,9,Comunidad Foral de Navarra,472880,709,375846,375846,0,0,171010,245803,1885,7682,296126,5,0,0,N
2,1982,10,1,1,4,9,AlmerÃ­a,410,39500,42000276,27600276,27600000,0,94,7200154,65900001,39300004,67000206,169000,500000,0,0
2,1982,10,1,9,99,9,CataluÃ±a,5921,64506,41304310,86904310,86900000,0,1739,83402828,76700013,72800046,82103423,978000,4700000,0,0
2,1982,10,1,10,99,9,Extremadura,1060785,1095,765728,765728,0,0,334794,447244,2294,11356,598771,12,0,0,N
2,1982,10,1,11,99,9,Galicia,2806791,2867,2073982,2073982,0,0,630590,957525,6553,22050,1292457,27,0,0,N
2,1982,10,1,13,31,9,Navarra,472880,709,375846,375846,0,0,171010,245803,1885,7682,296126,5,0,0,N
2,1982,10,1,18,99,9,Ciudad de Ceuta,65264,36,36128,36128,0,0,15148,22558,119,427,25571,1,0,0,N
