type_elec,year,month,round (en procesos a una sola vuelta = 1),"Código de la Comunidad Autónoma. En el caso de Total Nacional, llevará 99",Código I.N.E. de la provincia o 99 si se trata de datos a nivel Total Comunidad o Total Nacional,"Código del Distrito Electoral que corresponda o 9 en datos a nivel Total Provincial, Comunidad o Nacional",Código de la candidatura o del Senador,Votos obtenidos por la candidatura,Número de candidatos obtenidos por la candidatura
2,1982,10,1,1,4,9,38,0,0
2,1982,10,1,1,14,9,44,0,0
2,1982,10,1,1,14,9,56,175,0
2,1982,10,1,1,29,9,15,7637,0
2,1982,10,1,1,41,9,30,341,0
2,1982,10,1,1,41,9,33,2227,0
2,1982,10,1,1,41,9,81,30004,0
2,1982,10,1,1,99,9,19,2490,0
2,1982,10,1,1,99,9,71,77068,0
2,1982,10,1,1,99,9,80,4313,0
2,1982,10,1,2,22,9,39,0,0
2,1982,10,1,2,22,9,52,3314,0
2,1982,10,1,2,22,9,78,624,0
2,1982,10,1,2,44,9,70,626,0
2,1982,10,1,2,44,9,81,15570,0
2,1982,10,1,2,99,9,19,665,0
2,1982,10,1,2,99,9,39,0,0
2,1982,10,1,2,99,9,70,6861,0
2,1982,10,1,4,99,9,78,1716,0
2,1982,10,1,4,99,9,82,518,0
2,1982,10,1,5,35,9,33,758,0
2,1982,10,1,5,35,9,62,0,0
2,1982,10,1,5,38,9,33,1315,0
2,1982,10,1,6,39,9,33,1716,0
2,1982,10,1,6,99,9,37,262,0
2,1982,10,1,6,99,9,82,421,0
2,1982,10,1,7,19,9,37,99,0
2,1982,10,1,7,45,9,33,6488,0
2,1982,10,1,7,45,9,38,0,0
2,1982,10,1,7,99,9,19,350,0
2,1982,10,1,7,99,9,37,248,0
2,1982,10,1,7,99,9,42,0,0
2,1982,10,1,7,99,9,77,486553,13
2,1982,10,1,8,5,9,33,414,0
2,1982,10,1,8,9,9,78,1724,0
2,1982,10,1,8,24,9,19,616,0
2,1982,10,1,8,34,9,5,44965,1
2,1982,10,1,8,37,9,19,192,0
2,1982,10,1,8,37,9,38,0,0
2,1982,10,1,8,40,9,15,6967,0
2,1982,10,1,8,40,9,55,1348,0
2,1982,10,1,8,42,9,15,2881,0
2,1982,10,1,8,42,9,77,21639,1
2,1982,10,1,8,49,9,5,47504,1
2,1982,10,1,8,99,9,37,435,0
2,1982,10,1,8,99,9,43,75,0
2,1982,10,1,8,99,9,69,0,0
2,1982,10,1,9,17,9,5,35178,1
2,1982,10,1,9,43,9,26,11361,0
2,1982,10,1,9,43,9,56,183,0
2,1982,10,1,9,43,9,80,311,0
2,1982,10,1,9,99,9,18,772726,12
2,1982,10,1,10,10,9,15,4528,0
2,1982,10,1,1,4,9,15,3666,0
2,1982,10,1,1,11,9,80,902,0
2,1982,10,1,1,14,9,78,1886,0
2,1982,10,1,1,14,9,80,489,0
2,1982,10,1,1,18,9,82,249,0
2,1982,10,1,1,21,9,82,266,0
2,1982,10,1,1,23,9,15,3363,0
2,1982,10,1,1,23,9,53,26829,0
2,1982,10,1,1,29,9,71,11770,0
2,1982,10,1,1,29,9,72,315092,6
2,1982,10,1,1,41,9,15,5775,0
2,1982,10,1,1,41,9,38,0,0
2,1982,10,1,2,44,9,39,0,0
2,1982,10,1,2,44,9,82,148,0
2,1982,10,1,3,33,9,29,532,0
2,1982,10,1,3,33,9,55,53017,1
2,1982,10,1,4,7,9,55,5962,0
2,1982,10,1,5,35,9,82,602,0
2,1982,10,1,5,38,9,38,0,0
2,1982,10,1,6,39,9,19,404,0
2,1982,10,1,6,39,9,84,827,0
2,1982,10,1,6,99,9,78,1760,0
2,1982,10,1,7,2,9,69,0,0
2,1982,10,1,7,13,9,31,809,0
2,1982,10,1,7,13,9,82,140,0
2,1982,10,1,8,9,9,56,366,0
2,1982,10,1,8,9,9,69,0,0
2,1982,10,1,8,37,9,81,29951,0
2,1982,10,1,8,49,9,38,144,0
2,1982,10,1,8,99,9,77,645491,18
2,1982,10,1,9,17,9,14,5994,0
2,1982,10,1,9,17,9,54,1569,0
2,1982,10,1,9,25,9,33,743,0
2,1982,10,1,9,25,9,56,227,0
2,1982,10,1,9,43,9,71,719,0
2,1982,10,1,9,43,9,73,120880,3
2,1982,10,1,9,99,9,26,138118,1
2,1982,10,1,10,10,9,31,4,0
2,1982,10,1,10,10,9,47,212,0
2,1982,10,1,10,10,9,78,1595,0
2,1982,10,1,11,27,9,15,3876,0
2,1982,10,1,11,32,9,31,169,0
2,1982,10,1,11,32,9,82,339,0
2,1982,10,1,11,36,9,5,155556,4
2,1982,10,1,11,99,9,31,910,0
2,1982,10,1,11,99,9,75,426469,9
2,1982,10,1,12,28,9,61,5210,0
2,1982,10,1,12,99,9,33,22602,0
2,1982,10,1,12,99,9,77,1439137,18
2,1982,10,1,14,48,9,20,221801,4
2,1982,10,1,14,48,9,34,87100,1
2,1982,10,1,15,99,9,5,189642,3
2,1982,10,1,15,99,9,56,463,0
2,1982,10,1,1,11,9,81,22728,0
2,1982,10,1,1,14,9,33,1556,0
2,1982,10,1,1,18,9,38,0,0
2,1982,10,1,1,18,9,72,234154,5
2,1982,10,1,1,21,9,19,238,0
2,1982,10,1,1,29,9,38,20,0
2,1982,10,1,1,41,9,44,0,0
2,1982,10,1,1,99,9,30,341,0
2,1982,10,1,1,99,9,38,20,0
2,1982,10,1,2,99,9,56,836,0
2,1982,10,1,3,33,9,49,2493,0
2,1982,10,1,3,99,9,29,532,0
2,1982,10,1,4,7,9,38,0,0
2,1982,10,1,4,99,9,77,144232,3
2,1982,10,1,6,39,9,77,135987,3
2,1982,10,1,6,99,9,81,16265,0
2,1982,10,1,7,2,9,37,0,0
2,1982,10,1,7,13,9,77,151168,3
2,1982,10,1,7,16,9,80,325,0
2,1982,10,1,7,19,9,78,971,0
2,1982,10,1,7,45,9,19,157,0
2,1982,10,1,7,45,9,56,204,0
2,1982,10,1,7,45,9,80,283,0
2,1982,10,1,7,45,9,81,28433,0
2,1982,10,1,8,34,9,15,4516,0
2,1982,10,1,8,34,9,43,0,0
2,1982,10,1,8,42,9,81,11453,1
2,1982,10,1,8,47,9,56,360,0
2,1982,10,1,8,47,9,81,20704,0
2,1982,10,1,8,49,9,78,731,0
2,1982,10,1,8,49,9,82,354,0
2,1982,10,1,8,99,9,5,526469,13
2,1982,10,1,8,99,9,56,1740,0
2,1982,10,1,9,8,9,56,2011,0
2,1982,10,1,9,17,9,15,5328,0
2,1982,10,1,9,17,9,18,96306,2
2,1982,10,1,9,25,9,14,11484,0
2,1982,10,1,9,43,9,14,12535,0
2,1982,10,1,9,99,9,37,161,0
2,1982,10,1,9,99,9,60,3143,0
2,1982,10,1,10,6,9,77,209144,5
2,1982,10,1,10,10,9,81,29832,0
2,1982,10,1,11,15,9,75,196359,4
2,1982,10,1,11,27,9,80,500,0
2,1982,10,1,11,36,9,39,425,0
2,1982,10,1,11,36,9,81,76575,1
2,1982,10,1,11,99,9,15,33588,0
2,1982,10,1,11,99,9,61,1653,0
2,1982,10,1,12,28,9,77,1439137,18
2,1982,10,1,12,28,9,81,92508,1
2,1982,10,1,13,31,9,19,235,0
2,1982,10,1,13,31,9,20,16363,0
2,1982,10,1,13,31,9,56,311,0
2,1982,10,1,1,4,9,56,328,0
2,1982,10,1,1,4,9,82,323,0
2,1982,10,1,1,18,9,19,369,0
2,1982,10,1,1,21,9,80,259,0
2,1982,10,1,1,29,9,56,323,0
2,1982,10,1,1,99,9,47,2016,0
2,1982,10,1,2,22,9,70,2116,0
2,1982,10,1,2,22,9,77,63103,2
2,1982,10,1,2,22,9,81,19234,0
2,1982,10,1,2,99,9,52,20930,0
2,1982,10,1,3,33,9,69,0,0
2,1982,10,1,3,33,9,80,897,0
2,1982,10,1,3,99,9,82,712,0
2,1982,10,1,5,38,9,56,799,0
2,1982,10,1,5,99,9,38,443,0
2,1982,10,1,5,99,9,56,1424,0
2,1982,10,1,6,99,9,55,9265,0
2,1982,10,1,6,99,9,80,642,0
2,1982,10,1,7,2,9,47,141,0
2,1982,10,1,7,13,9,61,402,0
2,1982,10,1,7,13,9,78,1182,0
2,1982,10,1,7,13,9,81,29443,0
2,1982,10,1,7,16,9,42,0,0
2,1982,10,1,7,19,9,81,12049,0
2,1982,10,1,7,45,9,47,332,0
2,1982,10,1,7,99,9,56,409,0
2,1982,10,1,8,5,9,81,11218,0
2,1982,10,1,8,9,9,37,0,0
2,1982,10,1,8,24,9,55,5856,0
2,1982,10,1,8,24,9,68,1912,0
2,1982,10,1,8,37,9,77,100534,3
2,1982,10,1,8,47,9,43,0,0
2,1982,10,1,8,99,9,3,8748,0
2,1982,10,1,8,99,9,15,83824,1
2,1982,10,1,9,25,9,15,6286,0
2,1982,10,1,9,25,9,79,5495,0
2,1982,10,1,9,43,9,12,229,0
2,1982,10,1,10,99,9,82,488,0
2,1982,10,1,11,32,9,15,3467,0
2,1982,10,1,11,32,9,75,50619,1
2,1982,10,1,11,99,9,10,38437,0
2,1982,10,1,12,28,9,15,113384,1
2,1982,10,1,12,99,9,2,1710,0
2,1982,10,1,12,99,9,19,3188,0
2,1982,10,1,12,99,9,47,2187,0
2,1982,10,1,13,31,9,21,8399,0
2,1982,10,1,13,31,9,24,0,0
2,1982,10,1,13,31,9,34,34744,0
2,1982,10,1,13,31,9,81,31245,0
2,1982,10,1,14,20,9,40,11,0
2,1982,10,1,15,99,9,47,522,0
2,1982,10,1,15,99,9,69,0,0
2,1982,10,1,16,26,9,15,5774,0
2,1982,10,1,1,11,9,56,498,0
2,1982,10,1,1,11,9,78,3474,0
2,1982,10,1,1,23,9,37,0,0
2,1982,10,1,1,23,9,50,222,0
2,1982,10,1,1,23,9,80,211,0
2,1982,10,1,1,29,9,53,26935,0
2,1982,10,1,1,41,9,5,176054,3
2,1982,10,1,1,41,9,78,2568,0
2,1982,10,1,1,99,9,72,2064865,43
2,1982,10,1,2,44,9,47,99,0
2,1982,10,1,2,50,9,6,156800,3
2,1982,10,1,2,99,9,82,945,0
2,1982,10,1,3,33,9,5,181965,3
2,1982,10,1,4,7,9,82,518,0
2,1982,10,1,5,35,9,5,97701,2
2,1982,10,1,5,35,9,77,109366,3
2,1982,10,1,5,99,9,15,32292,0
2,1982,10,1,6,39,9,5,117567,2
2,1982,10,1,7,2,9,5,55666,1
2,1982,10,1,7,2,9,81,16755,0
2,1982,10,1,7,16,9,5,42274,2
2,1982,10,1,7,45,9,55,12849,0
2,1982,10,1,7,99,9,78,4067,0
2,1982,10,1,8,24,9,82,565,0
2,1982,10,1,8,34,9,33,707,0
2,1982,10,1,8,37,9,55,2616,0
2,1982,10,1,8,37,9,56,269,0
2,1982,10,1,8,49,9,80,266,0
2,1982,10,1,8,99,9,63,1454,0
2,1982,10,1,9,8,9,48,24382,0
2,1982,10,1,9,8,9,69,0,0
2,1982,10,1,9,17,9,79,8431,0
2,1982,10,1,9,25,9,54,1960,0
2,1982,10,1,9,43,9,5,51098,1
2,1982,10,1,9,43,9,47,171,0
2,1982,10,1,9,99,9,5,504075,8
2,1982,10,1,10,6,9,27,14160,0
2,1982,10,1,10,99,9,80,683,0
2,1982,10,1,11,15,9,22,8350,0
2,1982,10,1,11,15,9,33,1216,0
2,1982,10,1,11,15,9,81,66689,1
2,1982,10,1,11,99,9,4,5512,0
2,1982,10,1,11,99,9,56,1841,0
2,1982,10,1,11,99,9,81,230113,5
2,1982,10,1,12,28,9,5,891372,11
2,1982,10,1,12,28,9,82,3900,0
2,1982,10,1,12,99,9,37,634,0
2,1982,10,1,12,99,9,56,7532,0
2,1982,10,1,12,99,9,80,10017,0
2,1982,10,1,13,31,9,57,2144,0
2,1982,10,1,13,99,9,33,459,0
2,1982,10,1,14,1,9,7,27974,1
2,1982,10,1,14,1,9,15,5604,0
2,1982,10,1,1,4,9,53,5504,0
2,1982,10,1,1,4,9,81,23294,0
2,1982,10,1,1,14,9,15,5358,0
2,1982,10,1,1,14,9,47,0,0
2,1982,10,1,1,14,9,61,956,0
2,1982,10,1,1,21,9,78,812,0
2,1982,10,1,1,23,9,44,0,0
2,1982,10,1,1,29,9,5,118369,2
