type_elec,year,month,round (en procesos a una sola vuelta = 1) o Número de pregunta en Referéndum,Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.,Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.,Código I.N.E. del municipio (999 = C.E.R.A.),"Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito)",Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única),Censo del I.N.E.,Censo de escrutinio o censo C.E.R.A.,Censo C.E.R.E. en escrutinio (Residentes Extranjeros),Total votantes C.E.R.E. (Residentes Extranjeros),Votantes del primer avance de participación,Votantes del segundo avance de participación,Votos en blanco,Votos nulos,Votos a candidaturas,Votos afirmativos en Referéndum o ceros en otros procesos electorales,Votos negativos en Referéndum o ceros en otros procesos electorales,Datos oficiales (Si/No)
2,1982,10,1,1,4,13,4,0001,A,794,794,0,0,0,0,4,8,644,0,0,N
2,1982,10,1,1,4,13,4,0004,A,815,815,0,0,0,0,0,14,671,0,0,N
2,1982,10,1,1,4,13,5,0006,A,942,942,0,0,0,0,1,3,755,0,0,N
2,1982,10,1,1,4,13,7,0005,A,880,880,0,0,0,0,0,7,692,0,0,N
2,1982,10,1,1,4,13,7,0008,B,781,781,0,0,0,0,0,0,593,0,0,N
2,1982,10,1,1,4,13,7,0022,B,545,545,0,0,0,0,0,2,412,0,0,N
2,1982,10,1,1,4,13,8,0002,A,566,566,0,0,0,0,0,4,486,0,0,N
2,1982,10,1,1,4,15,1,0001,A,111,111,0,0,0,0,0,1,80,0,0,N
2,1982,10,1,1,4,16,2,0002,A,325,325,0,0,0,0,1,0,239,0,0,N
2,1982,10,1,1,4,22,1,0001,A,413,413,0,0,0,0,1,0,316,0,0,N
2,1982,10,1,1,4,29,1,0003,A,824,824,0,0,0,0,4,9,648,0,0,N
2,1982,10,1,1,4,37,1,0001,A,985,985,0,0,0,0,1,8,749,0,0,N
2,1982,10,1,1,4,38,1,0002,B,473,473,0,0,0,0,1,0,393,0,0,N
2,1982,10,1,1,4,38,3,0015,A,574,574,0,0,0,0,2,1,421,0,0,N
2,1982,10,1,1,4,38,3,0017,A,580,580,0,0,0,0,0,7,438,0,0,N
2,1982,10,1,1,4,45,1,0001,A,632,632,0,0,0,0,2,7,522,0,0,N
2,1982,10,1,1,4,53,5,0002,A,458,458,0,0,0,0,0,0,296,0,0,N
2,1982,10,1,1,4,53,5,0003,B,656,656,0,0,0,0,2,9,444,0,0,N
2,1982,10,1,1,4,2,1,0001,A,1211,1211,0,0,0,0,2,15,909,0,0,N
2,1982,10,1,1,4,3,4,0001,A,386,386,0,0,0,0,0,5,268,0,0,N
2,1982,10,1,1,4,5,1,0001,A,770,770,0,0,0,0,0,5,621,0,0,N
2,1982,10,1,1,4,6,2,0001,A,656,656,0,0,0,0,0,2,486,0,0,N
2,1982,10,1,1,4,6,3,0001,A,896,896,0,0,0,0,2,2,632,0,0,N
2,1982,10,1,1,4,12,1,0001,A,178,178,0,0,0,0,0,1,162,0,0,N
2,1982,10,1,1,4,13,2,0002,A,1030,1030,0,0,0,0,0,7,813,0,0,N
2,1982,10,1,1,4,13,2,0006,B,583,583,0,0,0,0,1,8,544,0,0,N
2,1982,10,1,1,4,13,3,0006,A,861,861,0,0,0,0,0,8,628,0,0,N
2,1982,10,1,1,4,13,3,0010,A,618,618,0,0,0,0,0,0,413,0,0,N
2,1982,10,1,1,4,13,5,0009,B,715,715,0,0,0,0,0,19,532,0,0,N
2,1982,10,1,1,4,13,6,0001,A,1117,1117,0,0,0,0,0,19,877,0,0,N
2,1982,10,1,1,4,13,6,0007,A,660,660,0,0,0,0,0,12,532,0,0,N
2,1982,10,1,1,4,13,6,0008,A,839,839,0,0,0,0,0,6,668,0,0,N
2,1982,10,1,1,4,13,6,0013,B,738,738,0,0,0,0,1,11,584,0,0,N
2,1982,10,1,1,4,13,6,0016,B,954,954,0,0,0,0,4,4,762,0,0,N
2,1982,10,1,1,4,13,6,0017,A,1044,1044,0,0,0,0,2,5,829,0,0,N
2,1982,10,1,1,4,13,6,0024,A,816,816,0,0,0,0,5,8,622,0,0,N
2,1982,10,1,1,4,3,1,0001,B,650,650,0,0,0,0,0,2,592,0,0,N
2,1982,10,1,1,4,3,3,0002,B,734,734,0,0,0,0,0,5,486,0,0,N
2,1982,10,1,1,4,3,5,0002,A,822,822,0,0,0,0,1,8,557,0,0,N
2,1982,10,1,1,4,6,1,0001,A,1026,1026,0,0,0,0,1,4,711,0,0,N
2,1982,10,1,1,4,13,3,0005,A,359,359,0,0,0,0,0,5,229,0,0,N
2,1982,10,1,1,4,13,4,0005,A,632,632,0,0,0,0,1,3,506,0,0,N
2,1982,10,1,1,4,13,5,0004,A,1061,1061,0,0,0,0,0,22,754,0,0,N
2,1982,10,1,1,4,13,6,0010,A,649,649,0,0,0,0,0,12,526,0,0,N
2,1982,10,1,1,4,13,6,0020,A,718,718,0,0,0,0,3,6,566,0,0,N
2,1982,10,1,1,4,13,6,0022,A,1032,1032,0,0,0,0,3,12,783,0,0,N
2,1982,10,1,1,4,13,7,0007,B,531,531,0,0,0,0,2,9,453,0,0,N
2,1982,10,1,1,4,13,7,0009,A,769,769,0,0,0,0,1,13,588,0,0,N
2,1982,10,1,1,4,13,7,0020,A,777,777,0,0,0,0,1,9,525,0,0,N
2,1982,10,1,1,4,18,1,0001,A,264,264,0,0,0,0,1,4,203,0,0,N
2,1982,10,1,1,4,32,2,0002,A,405,405,0,0,0,0,0,3,335,0,0,N
2,1982,10,1,1,4,35,5,0001,A,785,785,0,0,0,0,1,1,530,0,0,N
2,1982,10,1,1,4,47,1,0002,A,833,833,0,0,0,0,2,7,667,0,0,N
2,1982,10,1,1,4,53,2,0001,B,668,668,0,0,0,0,2,4,541,0,0,N
2,1982,10,1,1,4,3,2,0002,B,568,568,0,0,0,0,2,2,425,0,0,N
2,1982,10,1,1,4,3,2,0003,A,851,851,0,0,0,0,0,4,681,0,0,N
2,1982,10,1,1,4,6,4,0002,A,271,271,0,0,0,0,0,0,118,0,0,N
2,1982,10,1,1,4,13,3,0004,A,373,373,0,0,0,0,0,4,261,0,0,N
2,1982,10,1,1,4,13,4,0006,A,860,860,0,0,0,0,2,6,692,0,0,N
2,1982,10,1,1,4,13,5,0008,A,893,893,0,0,0,0,3,12,675,0,0,N
2,1982,10,1,1,4,13,7,0003,A,969,969,0,0,0,0,1,7,787,0,0,N
