021989101010400199ABLA                                                                                                001301300000001731000010000132300001323000000000000000000000485000008290000000200000003000009770000000000000000000N
021989101010400299ABRUCENA                                                                                            001301300000001594000010000118800001188000000000000000000000440000006580000000100000002000009150000000000000000000N
021989101010400399ADRA                                                                                                002902900000019358000170001342800013428000000000000000000003474000062490000001500000057000082720000000000000000000N
021989101010400499ALBANCHEZ                                                                                           005305300000000865000010000065800000658000000000000000000000276000004370000000000000000000005000000000000000000000N
021989101010400599ALBOLODUY                                                                                           001301300000001033000010000076800000768000000000000000000000338000005570000000400000003000006240000000000000000000N
021989101010400699ALBOX                                                                                               005305300000010321000080000632500006325000000000000000000001820000036200000001600000020000044710000000000000000000N
021989101010400799ALCOLEA                                                                                             001301300000000871000010000067600000676000000000000000000000361000005160000000000000000000005280000000000000000000N
021989101010400899ALCONTAR                                                                                            005305300000000698000020000055000000550000000000000000000000129000003370000000000000001000004270000000000000000000N
021989101010400999ALCUDIA DE MONTEAGUD                                                                                001301300000000218000010000017300000173000000000000000000000090000001160000000000000001000001330000000000000000000N
021989101010401099ALHABIA                                                                                             001301300000000885000010000062700000627000000000000000000000253000004440000000000000001000005090000000000000000000N
021989101010401199ALHAMA DE ALMERIA                                                                                   001301300000003068000030000220200002202000000000000000000000679000012990000000100000001000018110000000000000000000N
021989101010401299ALICUN                                                                                              001301300000000243000010000019200000192000000000000000000000075000001400000000000000002000001730000000000000000000N
021989101010401399ALMERIA                                                                                             001301300000153592001180011195100111951000000000000000000040746000587910000039600000642000727210000000000000000000N
021989101010401499ALMOCITA                                                                                            001301300000000217000010000017900000179000000000000000000000044000000910000000000000000000001240000000000000000000N
021989101010401599ALSODUX                                                                                             001301300000000125000010000011500000115000000000000000000000049000000810000000000000000000000920000000000000000000N
021989101010401699ANTAS                                                                                               010010000000002541000030000188300001883000000000000000000000390000009240000000500000009000013140000000000000000000N
021989101010401799ARBOLEAS                                                                                            005305300000001513000010000118000001180000000000000000000000387000007040000000400000005000008380000000000000000000N
021989101010401899ARMUÑA DE ALMANZORA                                                                                 005305300000000343000010000028800000288000000000000000000000122000001920000000100000000000002340000000000000000000N
021989101010401999BACARES                                                                                             005305300000000342000010000028000000280000000000000000000000114000001760000000100000000000002160000000000000000000N
021989101010402099BAYARCAL                                                                                            001301300000000447000010000031300000313000000000000000000000106000001850000000000000000000002310000000000000000000N
021989101010402199BAYARQUE                                                                                            005305300000000254000010000021200000212000000000000000000000060000001250000000000000000000001670000000000000000000N
021989101010402299BEDAR                                                                                               010010000000000587000010000041900000419000000000000000000000141000002390000000000000002000002730000000000000000000N
021989101010402399BEIRES                                                                                              001301300000000171000010000013500000135000000000000000000000053000000840000000000000000000001050000000000000000000N
021989101010402499BENAHADUX                                                                                           001301300000002016000020000149200001492000000000000000000000610000009740000000300000007000011740000000000000000000N
021989101010402699BENITAGLA                                                                                           001301300000000125000010000009800000098000000000000000000000033000000410000000000000000000000600000000000000000000N
021989101010402799BENIZALON                                                                                           001301300000000448000010000030700000307000000000000000000000077000001400000000000000002000001950000000000000000000N
021989101010402899BENTARIQUE                                                                                          001301300000000348000010000027500000275000000000000000000000150000002040000000000000001000002330000000000000000000N
021989101010402999BERJA                                                                                               002902900000011533000120000848800008488000000000000000000002582000048910000001100000047000062960000000000000000000N
021989101010403099CANJAYAR                                                                                            001301300000002205000030000160900001609000000000000000000000587000008150000000600000003000011350000000000000000000N
021989101010403199CANTORIA                                                                                            005305300000003406000030000259500002595000000000000000000001014000016100000000100000008000018780000000000000000000N
021989101010403299CARBONERAS                                                                                          010010000000005602000050000368700003687000000000000000000001073000019880000000700000004000026690000000000000000000N
021989101010403399CASTRO FILABRES                                                                                     001301300000000160000010000013100000131000000000000000000000032000000670000000000000000000000860000000000000000000N
021989101010403499COBDAR                                                                                              001301300000000305000010000024300000243000000000000000000000089000001690000000000000000000002010000000000000000000N
021989101010403599CUEVAS DEL ALMANZORA                                                                                010010000000009070000070000649800006498000000000000000000002080000037480000001700000041000047590000000000000000000N
021989101010403699CHERCOS                                                                                             005305300000000369000010000027400000274000000000000000000000097000001870000000100000001000002040000000000000000000N
021989101010403799CHIRIVEL                                                                                            005305300000002056000020000163800001638000000000000000000000477000008200000000500000014000011320000000000000000000N
021989101010403899DALIAS                                                                                              002902900000003625000050000269200002692000000000000000000000957000015790000000900000011000020190000000000000000000N
021989101010403999DARRICAL                                                                                            002902900000000388000010000033200000332000000000000000000000078000001510000000100000001000001770000000000000000000N
021989101010404199ENIX                                                                                                001301300000000240000010000019100000191000000000000000000000093000001090000000000000001000001420000000000000000000N
021989101010404399FELIX                                                                                               001301300000000685000010000052800000528000000000000000000000230000003640000000700000001000004100000000000000000000N
021989101010404499FINES                                                                                               005305300000001549000010000113500001135000000000000000000000386000007260000000000000003000009140000000000000000000N
021989101010404599FIÑANA                                                                                              001301300000002792000030000209400002094000000000000000000000795000012170000000300000009000015410000000000000000000N
021989101010404699FONDON                                                                                              001301300000001031000010000080300000803000000000000000000000289000004610000000300000000000005610000000000000000000N
021989101010404799GADOR                                                                                               001301300000002531000020000189400001894000000000000000000000905000013830000000600000001000015600000000000000000000N
021989101010404899GALLARDOS (LOS)                                                                                     010010000000001663000020000123600001236000000000000000000000447000007600000000300000001000009370000000000000000000N
021989101010404999GARRUCHA                                                                                            010010000000003756000020000277900002779000000000000000000001020000016720000000800000012000020060000000000000000000N
021989101010405099GERGAL                                                                                              001301300000001257000010000094500000945000000000000000000000327000005400000000100000003000006470000000000000000000N
021989101010405199HUECIJA                                                                                             001301300000000601000010000046500000465000000000000000000000166000003000000000600000003000003830000000000000000000N
021989101010405299HUERCAL DE ALMERIA                                                                                  001301300000003686000030000259300002593000000000000000000000966000015580000000400000019000018580000000000000000000N
021989101010405399HUERCAL-OVERA                                                                                       005305300000012745000140000961600009616000000000000000000002931000054780000002400000035000070230000000000000000000N
021989101010405499ILLAR                                                                                               001301300000000554000010000044300000443000000000000000000000175000003100000000100000000000003880000000000000000000N
021989101010405599INSTINCION                                                                                          001301300000000676000010000052100000521000000000000000000000163000003510000000000000003000004560000000000000000000N
021989101010405699LAROYA                                                                                              005305300000000172000010000011400000114000000000000000000000030000000710000000000000000000000880000000000000000000N
021989101010405799LAUJAR DE ANDARAX                                                                                   001301300000001892000020000137100001371000000000000000000000471000008250000000200000005000010880000000000000000000N
021989101010405899LIJAR                                                                                               005305300000000560000010000042200000422000000000000000000000140000002700000000000000000000003310000000000000000000N
021989101010405999LUBRIN                                                                                              010010000000002199000030000173500001735000000000000000000000668000010200000000100000023000011770000000000000000000N
021989101010406099LUCAINENA DE LAS TORRES                                                                             001301300000000702000010000052300000523000000000000000000000166000003190000000100000001000003670000000000000000000N
021989101010406199LUCAR                                                                                               005305300000000802000010000062500000625000000000000000000000213000003760000000000000004000004630000000000000000000N
021989101010406299MACAEL                                                                                              005305300000005554000050000391900003919000000000000000000001569000023640000000400000008000027610000000000000000000N
021989101010406399MARIA                                                                                               005305300000001903000030000143900001439000000000000000000000387000008230000000200000017000010880000000000000000000N
021989101010406499MOJACAR                                                                                             010010000000002839000020000162600001626000000000000000000000479000008830000000400000004000012440000000000000000000N
021989101010406599NACIMIENTO                                                                                          001301300000000603000010000046900000469000000000000000000000249000003210000000000000000000003450000000000000000000N
021989101010406699NIJAR                                                                                               001301300000012102000160000886900008869000000000000000000002150000039980000001400000007000054920000000000000000000N
021989101010406799OHANES                                                                                              001301300000000995000010000074800000748000000000000000000000262000004450000000100000004000005640000000000000000000N
021989101010406899OLULA DE CASTRO                                                                                     001301300000000250000010000019500000195000000000000000000000046000001240000000000000001000001460000000000000000000N
021989101010406999OLULA DEL RIO                                                                                       005305300000005212000040000382100003821000000000000000000001024000020230000001300000028000026180000000000000000000N
021989101010407099ORIA                                                                                                005305300000002651000040000206700002067000000000000000000000569000011910000000100000016000014870000000000000000000N
021989101010407199PADULES                                                                                             001301300000000614000010000046900000469000000000000000000000210000003100000000000000003000003640000000000000000000N
021989101010407299PARTALOA                                                                                            005305300000000490000010000038600000386000000000000000000000111000002550000000000000000000003250000000000000000000N
021989101010407399PATERNA DEL RIO                                                                                     001301300000000457000010000034800000348000000000000000000000141000002090000000000000001000002420000000000000000000N
021989101010407499PECHINA                                                                                             001301300000002090000020000149700001497000000000000000000000586000009420000000500000000000011300000000000000000000N
021989101010407599PULPI                                                                                               010010000000004161000030000311400003114000000000000000000000957000018760000000700000016000023460000000000000000000N
021989101010407699PURCHENA                                                                                            005305300000001857000020000135900001359000000000000000000000405000007910000000000000007000010360000000000000000000N
021989101010407799RAGOL                                                                                               001301300000000498000010000037200000372000000000000000000000162000002580000000000000000000003170000000000000000000N
021989101010407899RIOJA                                                                                               001301300000001172000010000086300000863000000000000000000000386000006410000000000000003000007270000000000000000000N
021989101010407999ROQUETAS DE MAR                                                                                     001301300000022122000150001703400017034000000000000000000004100000077250000002800000032000104800000000000000000000N
021989101010408099SANTA CRUZ                                                                                          001301300000000273000010000020600000206000000000000000000000069000001090000000000000000000001420000000000000000000N
