021993061010400199ABLA                                                                                                001301300000001663000010000127200001272000000000000000000000565000008900000000100000001000010580000000000000000000N
021993061010400299ABRUCENA                                                                                            001301300000001432000010000112400001122000000000000000000000448000007620000000200000002000009660000000000000000000N
021993061010400399ADRA                                                                                                002902900000020104000180001414700014085000000000000000000004834000076590000003200000029000102120000000000000000000N
021993061010400499ALBANCHEZ                                                                                           005305300000000682000010000061500000615000000000000000000000283000003780000000200000000000005060000000000000000000N
021993061010400599ALBOLODUY                                                                                           001301300000000898000010000070100000701000000000000000000000328000005270000000300000000000006080000000000000000000N
021993061010400699ALBOX                                                                                               005305300000010010000090000670200006695000000000000000000002439000039930000002800000013000051800000000000000000000N
021993061010400799ALCOLEA                                                                                             001301300000000824000010000065000000650000000000000000000000330000004320000000100000000000005400000000000000000000N
021993061010400899ALCONTAR                                                                                            005305300000000629000020000054600000542000000000000000000000150000003180000000200000000000004480000000000000000000N
021993061010400999ALCUDIA DE MONTEAGUD                                                                                001301300000000212000010000017000000171000000000000000000000087000001000000000000000000000001410000000000000000000N
021993061010401099ALHABIA                                                                                             001301300000000774000010000057900000577000000000000000000000321000004470000000300000000000005050000000000000000000N
021993061010401199ALHAMA DE ALMERIA                                                                                   001301300000003050000030000226300002268000000000000000000000971000015890000000700000006000020290000000000000000000N
021993061010401299ALICUN                                                                                              001301300000000236000010000018900000189000000000000000000000108000001510000000000000001000001780000000000000000000N
021993061010401399ALMERIA                                                                                             001301300000155120001450011903700120107000000000000000000049660000701900000053500000356000893910000000000000000000N
021993061010401499ALMOCITA                                                                                            001301300000000182000010000017000000172000000000000000000000044000001100000000000000000000001390000000000000000000N
021993061010401599ALSODUX                                                                                             001301300000000125000010000010800000108000000000000000000000056000000830000000000000001000000940000000000000000000N
021993061010401699ANTAS                                                                                               010010000000002514000030000191900001955000000000000000000000533000010770000001500000017000015790000000000000000000N
021993061010401799ARBOLEAS                                                                                            005305300000001519000010000118900001191000000000000000000000462000007160000000200000003000009100000000000000000000N
021993061010401899ARMUÑA DE ALMANZORA                                                                                 005305300000000376000010000029900000299000000000000000000000164000002080000000100000001000002530000000000000000000N
021993061010401999BACARES                                                                                             005305300000000313000010000026000000260000000000000000000000115000001830000000000000001000002210000000000000000000N
021993061010402099BAYARCAL                                                                                            001301300000000389000010000030000000298000000000000000000000100000001880000000100000004000002260000000000000000000N
021993061010402199BAYARQUE                                                                                            005305300000000245000010000020700000207000000000000000000000084000001260000000000000000000001700000000000000000000N
021993061010402299BEDAR                                                                                               010010000000000503000010000036800000366000000000000000000000193000002520000000000000001000003030000000000000000000N
021993061010402399BEIRES                                                                                              001301300000000151000010000013300000133000000000000000000000048000000840000000000000000000001010000000000000000000N
021993061010402499BENAHADUX                                                                                           001301300000002277000020000164500001642000000000000000000000843000011770000000400000002000014260000000000000000000N
021993061010402699BENITAGLA                                                                                           001301300000000117000010000009600000104000000000000000000000035000000460000000000000001000000620000000000000000000N
021993061010402799BENIZALON                                                                                           001301300000000346000010000028100000280000000000000000000000055000001310000000000000000000001850000000000000000000N
021993061010402899BENTARIQUE                                                                                          001301300000000365000010000028700000287000000000000000000000182000002310000000000000000000002590000000000000000000N
021993061010402999BERJA                                                                                               002902900000012054000120000892600008935000000000000000000003449000054820000002600000018000070660000000000000000000N
021993061010403099CANJAYAR                                                                                            001301300000001826000030000146000001455000000000000000000000695000009080000000000000001000011820000000000000000000N
021993061010403199CANTORIA                                                                                            005305300000003309000030000261900002620000000000000000000001109000017000000000200000000000021320000000000000000000N
021993061010403299CARBONERAS                                                                                          010010000000005703000060000393600003937000000000000000000001384000023680000000500000006000031170000000000000000000N
021993061010403399CASTRO DE FILABRES                                                                                  001301300000000167000010000013200000132000000000000000000000057000000740000000000000001000001060000000000000000000N
021993061010403499COBDAR                                                                                              001301300000000283000010000022700000229000000000000000000000100000001630000000000000001000002000000000000000000000N
021993061010403599CUEVAS DEL ALMANZORA                                                                                010010000000009167000080000673800006742000000000000000000002871000042250000001600000023000054660000000000000000000N
021993061010403699CHERCOS                                                                                             005305300000000324000010000025400000255000000000000000000000113000001860000000000000000000002240000000000000000000N
021993061010403799CHIRIVEL                                                                                            005305300000001995000020000163900001639000000000000000000000615000010170000000800000008000012170000000000000000000N
021993061010403899DALIAS                                                                                              002902900000003511000050000273700002741000000000000000000001104000017390000000600000011000021950000000000000000000N
021993061010403999DARRICAL                                                                                            002902900000000417000010000029100000291000000000000000000000098000001460000000100000000000001890000000000000000000N
021993061010404199ENIX                                                                                                001301300000000241000010000018700000189000000000000000000000093000001300000000000000000000001560000000000000000000N
021993061010404399FELIX                                                                                               001301300000000616000010000049100000490000000000000000000000234000003380000000300000000000004130000000000000000000N
021993061010404499FINES                                                                                               005305300000001621000010000120500001202000000000000000000000535000008300000000200000006000010480000000000000000000N
021993061010404599FIÑANA                                                                                              001301300000002563000030000204500002043000000000000000000000845000013320000000400000005000016470000000000000000000N
021993061010404699FONDON                                                                                              001301300000000906000010000078700000787000000000000000000000341000005330000000000000004000006220000000000000000000N
