021993061199999000002002TLUIS DE GRANDES PASCUAL                                                     000000000000000000S
021993061199999000002003TLUIS ROMERO DEL AMO                                                         000000000000000000N
021993061209999000002001TJOSE EUGENIO AZPIROZ VILLAR                                                 000000000000000000S
021993061209999000002002TRICARDO HUESO ABANCENS                                                      000000000000000000N
021993061209999000002003TCARMEN NAGEL TEJADA                                                         000000000000000000N
021993061209999000002004TANDRES BERNABE RODRIGUEZ                                                    000000000000000000N
021993061209999000002005TJOSE CARLOS GARCIA PAREDES                                                  000000000000000000N
021993061209999000002006TJAIME MAYOR OREJA                                                           000000000000000000N
021993061219999000002001TEMILIANO SANZ ESCALERA                                                      000000000000000000S
021993061219999000002002TMARIA DEL PILAR PULGAR FRAILE                                               000000000000000000S
021993061219999000002003TWENCESLAO ALBERTO FONT BRIONES                                              000000000000000000N
021993061219999000002004TANA MARIA BAÑEZ RIVERA                                                      000000000000000000N
021993061219999000002005TMANUEL SABORIT HERNANDIS                                                    000000000000000000N
021993061229999000002001TROSA VILLALON RICO                                                          000000000000000000S
021993061229999000002002TAURORA ABAD RUIZ                                                            000000000000000000N
021993061229999000002003TANGEL MARIA MUZAS ROTA                                                      000000000000000000N
021993061239999000002001TGABINO PUCHE RODRIGUEZ-ACOSTA                                               000000000000000000S
021993061239999000002002TLUIS DE TORRES GOMEZ                                                        000000000000000000S
021993061239999000002003TJUAN PIZARRO NAVARRETE                                                      000000000000000000N
021993061239999000002004TSOFIA CASTELLO NICAS                                                        000000000000000000N
021993061239999000002005TFRANCISCO ARMIJO HIGUERAS                                                   000000000000000000N
021993061239999000002006TMARIA INOCENCIA SANCHEZ ALCAIDE                                             000000000000000000N
021993061249999000002001TMANUEL NUÑEZ PEREZ                                                          000000000000000000S
021993061249999000002002TJUAN MORANO MASA                                                            000000000000000000S
021993061249999000002003TANGEL ESCUREDO FRANCO                                                       000000000000000000S
021993061249999000002004TEMILIO GUTIERREZ FERNANDEZ                                                  000000000000000000N
021993061249999000002005TNATIVIDAD CORDERO MONROY                                                    000000000000000000N
021993061269999000002001TLUIS ANGEL ALEGRE GALILEA                                                   000000000000000000S
021993061269999000002002TNEFTALI ISASI GOMEZ                                                         000000000000000000S
021993061269999000002003TJOSE IGNACIO CENICEROS GONZALEZ                                             000000000000000000N
021993061269999000002004TCONRADO ESCOBAR LAS HERAS                                                   000000000000000000N
021993061279999000002001TMAURO ANTONIO VARELA PEREZ                                                  000000000000000000S
021993061279999000002002TJULIO PADILLA CARBALLADA                                                    000000000000000000S
021993061279999000002003TENRIQUE ALVAREZ PAREDES                                                     000000000000000000S
021993061279999000002004TAURORA CARRO PARAMO                                                         000000000000000000N
021993061279999000002005TJOSE CARLOS RODRIGUEZ ANDINA                                                000000000000000000N
021993061289999000002001TJOSE MARIA AZNAR LOPEZ                                                      000000000000000000S
021993061289999000002002TRODRIGO DE RATO FIGAREDO                                                    000000000000000000S
021993061289999000002003TRODOLFO MARTIN VILLA                                                        000000000000000000S
021993061289999000002004TRAFAEL ARIAS-SALGADO MONTALVO                                               000000000000000000S
021993061289999000002005TALEJANDRO MUÑOZ-ALONSO LEDO                                                 000000000000000000S
021993061289999000002006TJUAN CARLOS VERA PRO                                                        000000000000000000S
021993061289999000002007TALVARO DE LAPUERTA QUINTERO                                                 000000000000000000S
021993061289999000002008TANA MATO ADROVER                                                            000000000000000000S
021993061289999000002009TCRISTOBAL RICARDO MONTORO ROMERO                                            000000000000000000S
021993061289999000002010TLUIS EDUARDO CORTES MUÑOZ                                                   000000000000000000S
021993061289999000002011TCARLOS ARAGONES MENDIGUCHIA                                                 000000000000000000S
021993061289999000002012TJOSE MARIA MICHAVILA NUÑEZ                                                  000000000000000000S
021993061289999000002013TROGELIO BAON RAMIREZ                                                        000000000000000000S
021993061289999000002014TJOSE MANUEL FERNANDEZ NORNIELLA                                             000000000000000000S
021993061289999000002015TELENA GARCIA-ALCAÑIZ CALVO                                                  000000000000000000S
021993061289999000002016TJUAN TOMAS ESTEO PALOMO                                                     000000000000000000S
021993061289999000002017TTEOFILO DE LUIS RODRIGUEZ                                                   000000000000000000N
021993061289999000002018TPEDRO NUÑEZ MORGADES                                                        000000000000000000N
021993061289999000002019TMARIA TERESA GARCIA-SISO PARDO                                              000000000000000000N
021993061289999000002020TMANUEL JOSE RODRIGUEZ GONZALEZ                                              000000000000000000N
021993061289999000002021TMARIA JOSEFA AGUADO DEL OLMO                                                000000000000000000N
021993061289999000002022TANTONIO ABDON CABRERO RUIZ                                                  000000000000000000N
021993061289999000002023TGINES LOPEZ RODRIGUEZ                                                       000000000000000000N
021993061289999000002024TMANUEL TROITIÑO PELAZ                                                       000000000000000000N
021993061289999000002025TFRANCISCO JAVIER ESPADAS LOPEZ-TERRADAS                                     000000000000000000N
021993061289999000002026TFRANCISCO EXTREMERA MERENCIO                                                000000000000000000N
021993061289999000002027TJAVIER RAMON CEPEDA BARROS                                                  000000000000000000N
021993061289999000002028TALICIA BELMONTE ATIENZA                                                     000000000000000000N
021993061289999000002029TFLORENTINO JESUS BRIONES SOLIS                                              000000000000000000N
021993061289999000002030TSONSOLES TRINIDAD ABOIN ABOIN                                               000000000000000000N
021993061289999000002031TBARTOLOME GONZALEZ GIMENEZ                                                  000000000000000000N
021993061289999000002032TMARIA DOLORES LOPEZ DE LA RICA                                              000000000000000000N
021993061289999000002033TIGNACIO DEL RIO GARCIA DE SOLA                                              000000000000000000N
021993061289999000002034TJOSE MARIA DE LA TORRE MONTORO                                              000000000000000000N
021993061299999000002001TCELIA VILLALOBOS TALERO                                                     000000000000000000S
021993061299999000002002TFEDERICO JAVIER SOUVIRON GARCIA                                             000000000000000000S
021993061299999000002003TMARIA ESPERANZA OÑA SEVILLA                                                 000000000000000000S
021993061299999000002004TPABLO MARCIAL IZQUIERDO JUAREZ                                              000000000000000000N
021993061299999000002005TLUIS CASASECA NAVAS                                                         000000000000000000N
021993061299999000002006TANA MARIA CORREDERA QUINTANA                                                000000000000000000N
021993061299999000002007TJESUS CALVO SORIANO                                                         000000000000000000N
021993061299999000002008TFRANCISCO GOMEZ ROMAN                                                       000000000000000000N
021993061299999000002009TANTONIO VILLENA MONTENEGRO                                                  000000000000000000N
021993061299999000002010TANA JESUS MORILLO GALEOTE                                                   000000000000000000N
021993061309999000002001TLUIS GAMIR CASARES                                                          000000000000000000S
021993061029999000001001TJUAN DE DIOS IZQUIERDO COLLADO                                              000000000000000000S
021993061029999000001002TJOSE JEREZ COLINO                                                           000000000000000000S
021993061029999000001003TJOSE CUENCA RICO                                                            000000000000000000N
021993061029999000001004TFRUCTUOSO DIAZ CARRILLO                                                     000000000000000000N
021993061039999000001001TJOSE V.BEVIA PASTOR                                                         000000000000000000S
021993061039999000001002TALBERTO PEREZ FERRE                                                         000000000000000000S
021993061039999000001003TMARIA TERESA SEMPERE JAEN                                                   000000000000000000S
021993061039999000001004TLUIS BERENGUER FUSTER                                                       000000000000000000S
021993061039999000001005TJORGE CREMADES SENA                                                         000000000000000000N
021993061039999000001006TMANUEL CATALAN CHANA                                                        000000000000000000N
021993061039999000001007TREMEI GALIANA ROIG                                                          000000000000000000N
021993061039999000001008TMIGUEL TEROL MARTINEZ                                                       000000000000000000N
021993061039999000001009TMARIA TERESA CABRERA DE SANTOS                                              000000000000000000N
021993061039999000001010TFRANCISCA MUÑOZ GIL                                                         000000000000000000N
