02199306000001PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     000001000001000001
02199306000002PP                                                PARTIDO POPULAR                                                                                                                                       000002000002000002
02199306000003CDS                                               CENTRO DEMOCRATICO Y SOCIAL                                                                                                                           000003000003000003
02199306000004IU                                                IZQUIERDA UNIDA                                                                                                                                       000004000004000004
02199306000005CC                                                COALICION CANARIA                                                                                                                                     000005000005000005
02199306000006FE-JONS                                           FALANGE ESPAÑOLA DE LAS J.O.N.S.                                                                                                                      000006000006000006
02199306000007PCPE                                              PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA                                                                                                            000007000007000007
02199306000008ARM-ADE                                           AGRUPACION RUIZ-MATEOS-ALIANZA DEMOCR. EUROPEA                                                                                                        000008000008000008
02199306000009LE                                                LOS ECOLOGISTAS                                                                                                                                       000009000009000009
02199306000010UCE                                               UNIFICACION COMUNISTA DE ESPAÑA                                                                                                                       000010000010000010
02199306000011PLN                                               PARTIDO DE LA LEY NATURAL                                                                                                                             000011000011000011
02199306000012PH                                                PARTIDO HUMANISTA                                                                                                                                     000012000012000012
02199306000013PST                                               PARTIDO SOCIALISTA DE LOS TRABAJADORES                                                                                                                000013000013000013
02199306000014UC                                                UNION CASTELLANISTA                                                                                                                                   000014000014000014
02199306000015MCES                                              MONARQUIA CRISTIANA ESPAÑOLA SOCIALDEMOCRATA                                                                                                          000015000015000015
02199306000016PREX                                              PARTIDO REGIONALISTA EXTREMEÑO                                                                                                                        000016000016000016
02199306000017MCE                                               MOVIMIENTO CATOLICO ESPAÑOL                                                                                                                           000017000017000017
02199306000018PED                                               UNIDAD CENTRISTA-PARTIDO ESPAÑOL DEMOCRATICO                                                                                                          000018000018000018
02199306000020GIL                                               GRUPO INDEPENDIENTE LIBERAL                                                                                                                           000020000020000020
02199306000021ARDE                                              A.R.D.E. FEDERACION REPUBLICANA                                                                                                                       000021000021000021
02199306000022PCPA                                              PARTIDO COMUNISTA DEL PUEBLO ANDALUZ                                                                                                                  000022000022000007
02199306000023IU-CA                                             IZQUIERDA UNIDA-CONVOCATORIA POR ANDALUCIA                                                                                                            000023000023000004
02199306000024PSOE-A                                            PART. SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA                                                                                                          000024000024000001
02199306000025PA                                                PARTIDO ANDALUCISTA                                                                                                                                   000025000025000025
02199306000026UMMP                                              UNIO MALLORQUINA, MENORQUINA I PITIUSA                                                                                                                000026000026000026
02199306000027CCL                                               COALICION POR CANARIAS LIBRE                                                                                                                          000027000027000027
02199306000029CHA                                               CHUNTA ARAGONESISTA                                                                                                                                   000029000029000029
02199306000030PAR                                               PARTIDO ARAGONES                                                                                                                                      000030000030000030
02199306000031PAS                                               PARTIU ASTURIANISTA                                                                                                                                   000031000031000031
02199306000032POR                                               PARTIDO OBRERO REVOLUCIONARIO                                                                                                                         000032000032000032
02199306000033CONCEYU                                           CONCEYU INDEPENDIENTE D'ASTURIES                                                                                                                      000033000033000033
02199306000035PRB                                               PARTIDO RADICAL BALEAR                                                                                                                                000035000035000035
02199306000036UA                                                UNIDAD ALAVESA                                                                                                                                        000036000036000036
02199306000037ACI                                               A.C.I. PANTERAS GRISES DE ESPAÑA                                                                                                                      000037000037000037
02199306000038PCPC                                              PARTIDO COMUNISTA DEL PUEBLO CANARIO                                                                                                                  000038000038000007
02199306000039IUC                                               IZQUIERDA UNIDA CANARIA                                                                                                                               000039000039000004
02199306000040P. TAGOROR                                        PARTIDO TAGOROR                                                                                                                                       000040000040000040
02199306000041LG                                                LA GENTE                                                                                                                                              000041000041000041
02199306000042PRC                                               PARTIDO REGIONALISTA DE CANTABRIA                                                                                                                     000042000042000042
02199306000043PNC                                               PARTIDO NACIONALISTA CANTABRO                                                                                                                         000043000043000043
02199306000044ATF                                               ASAMBLEA TINERFEÑA                                                                                                                                    000044000044000044
02199306000045UPCA                                              UNION PARA EL PROGRESO DE CANTABRIA                                                                                                                   000045000045000045
02199306000046URCL                                              UNIDAD REGIONALISTA DE CASTILLA Y LEON                                                                                                                000046000046000046
02199306000047PGC                                               PARTIDO DE GRAN CANARIA                                                                                                                               000047000047000047
02199306000048VERDES                                            LOS VERDES                                                                                                                                            000048000048000048
02199306000049PRGU                                              PARTIDO REGIONALISTA DE GUADALAJARA                                                                                                                   000049000049000049
02199306000050PANCAL                                            PARTIDO NACIONALISTA DE CASTILLA Y LEON                                                                                                               000050000050000050
02199306000051PREPAL                                            PARTIDO REGIONALISTA DEL PAIS LEONES                                                                                                                  000051000051000051
02199306000052AIGRANC                                           PARTIDO AGRUPACION INSULAR DE GRAN CANARIA                                                                                                            000052000052000052
02199306000053PSC-PSOE                                          PARTIT DELS SOCIALISTES DE CATALUNYA                                                                                                                  000053000053000001
02199306000054EV                                                ELS VERDS                                                                                                                                             000054000123000048
02199306000055CIU                                               CONVERGENCIA I UNIO                                                                                                                                   000055000055000055
02199306000056ENV                                               ESQUERRA NACIONALISTA VALENCIANA                                                                                                                      000056000056000056
02199306000057ARCOIRIS                                          ARCOIRIS                                                                                                                                              000057000057000057
