03202307000002PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     000002000002000002
03202307000003PUM+J                                             POR UN MUNDO MÁS JUSTO                                                                                                                                000003000003000003
03202307000004ALM                                               ALMERIENSES - REGIONALISTAS PRO ALMERÍA                                                                                                               000004000004000004
03202307000005PP                                                PARTIDO POPULAR                                                                                                                                       000005000005000005
03202307000006VOX                                               VOX                                                                                                                                                   000006000006000006
03202307000007PACMA                                             PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE                                                                                                              000007000007000007
03202307000008LB                                                LIBRES                                                                                                                                                000008000008000008
03202307000009RECORTES CERO                                     RECORTES CERO                                                                                                                                         000009000009000009
03202307000010SUMAR                                             SUMAR                                                                                                                                                 000010000010000010
03202307000011SUMAR                                             SUMAR ANDALUCÍA                                                                                                                                       000011000011000010
03202307000012ADELANTE ANDALUCÍA                                ADELANTE ANDALUCÍA                                                                                                                                    000012000012000012
03202307000013CJ                                                CAMINANDO JUNTOS                                                                                                                                      000013000013000013
03202307000014ESCAÑOS EN BLANCO                                 ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS                                                                                                           000014000014000014
03202307000015PCTE                                              PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA                                                                                                       000015000015000015
03202307000016JxG                                               JUNTOS POR GRANADA                                                                                                                                    000016000016000016
03202307000017XH                                                POR HUELVA                                                                                                                                            000017000017000017
03202307000018JM+                                               JAÉN MERECE MÁS                                                                                                                                       000018000018000018
03202307000019FE de las JONS                                    FALANGE ESPAÑOLA DE LAS J.O.N.S.                                                                                                                      000019000019000019
03202307000020F.I.A.                                            FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓN                                                                                                            000020000020000020
03202307000021SUMAR ARAGÓN                                      SUMAR ARAGÓN                                                                                                                                          000021000021000010
03202307000023EXISTE                                            ARAGÓN EXISTE - COALICIÓN EXISTE                                                                                                                      000023000023000023
03202307000024PAR                                               PARTIDO ARAGONÉS                                                                                                                                      000024000024000024
03202307000025EXISTE                                            TERUEL EXISTE - COALICIÓN EXISTE                                                                                                                      000025000023000023
03202307000026PUEDE                                             PARTIDO UNIONISTA ESTADO DE ESPAÑA                                                                                                                    000026000026000026
03202307000027ESPAÑA VACIADA                                    ESPAÑA VACIADA                                                                                                                                        000027000027000027
03202307000028ASTURIAS EXISTE EV                                ASTURIAS EXISTE-ESPAÑA VACIADA                                                                                                                        000028000028000028
03202307000029PSIB-PSOE                                         PARTIDO SOCIALISTA DE ISLAS BALEARES-PSOE                                                                                                             000029000029000002
03202307000030MÉS PER MALLORCA-MÉS PER MENORCA-SUMAR            SUMAR MÉS                                                                                                                                             000030000085000010
03202307000031CCa                                               COALICIÓN CANARIA                                                                                                                                     000031000031000031
03202307000032NC-bc                                             NUEVA CANARIAS - BLOQUE CANARISTA                                                                                                                     000032000032000032
