03202307101049Almería                                           00740534008370051610800516114000000000000000000192996002468960000482300007521003114120000040000000000000000S
03202307101119Cádiz                                             01246781015280101795601017958000000000000000000388082005090850001314200018831006115140000040000000000000000S
03202307101149Córdoba                                           00772464009480064528800645288000000000000000000288454003517090000875700012181004335310000040000000000000000S
03202307101189Granada                                           00921987011210076547700765478000000000000000000309560003843340000763200014411004860010000040000000000000000S
03202307101219Huelva                                            00528763006510040249100402504000000000000000000155282001955540000499300008188002458610000040000000000000000S
03202307101239Jaén                                              00623761008730051836900518371000000000000000000231732002791340000499500010053003578500000040000000000000000S
03202307101299Málaga                                            01717504017340123984301239846000000000000000000472991006238540001389000024262007585060000040000000000000000S
03202307101419Sevilla                                           01948393025880156406401564082000000000000000000652536008136770001881900029836010146450000040000000000000000S
03202307101999Andalucía                                         08500187102800666959606669641000000000000000002691633034042430007705100125283042193200000320000000000000000S
03202307102229Huesca                                            00225456004030017338800173391000000000000000000068223000867850000249600002687001156850000040000000000000000S
03202307102449Teruel                                            00134421003280010635200106352000000000000000000042452000549380000103600001736000734340000040000000000000000S
03202307102509Zaragoza                                          00966438014670074006000740060000000000000000000301703003733850000966400007345005052590000040000000000000000S
03202307102999Aragón                                            01326315021980101980001019803000000000000000000412378005151080001319600011768006943780000120000000000000000S
03202307103339Asturias                                          01004686015280095901600959023000000000000000000326255004521610001175300011653005785810000040000000000000000S
03202307103999Principado de Asturias                            01004686015280095901600959023000000000000000000326255004521610001175300011653005785810000040000000000000000S
03202307104071Mallorca                                          00914564009750064823500648249000000000000000000235492003073480000633900009263003883770000030000000000000000S
03202307104072Menorca                                           00096467001050007458200074582000000000000000000027072000345420000084800001168000440740000010000000000000000S
03202307104073Eivissa-Formentera                                00165628001690010592500105924000000000000000000034077000447880000107000001922000570450000010000000000000000S
03202307104079Illes Balears                                     01176659012490082874200828755000000000000000000296641003866780000825700012353004894960000050000000000000000S
03202307104999Illes Balears                                     01176659012490082874200828755000000000000000000296641003866780000825700012353004894960000050000000000000000S
03202307105351Gran Canaria                                      00853262012510072198300721994000000000000000000201676003135900000500700019132004113860000030000000000000000S
03202307105352Lanzarote                                         00156112001790010449400104495000000000000000000024440000397100000083000001874000555090000010000000000000000S
03202307105353Fuerteventura                                     00120021001340007239400072393000000000000000000016292000261370000038600001642000386700000010000000000000000S
03202307105359Las Palmas                                        01129395015640089887100898882000000000000000000242408003794370000622300022648005055650000050000000000000000S
03202307105384Tenerife                                          00931646012030075654300756544000000000000000000199796003160750000524200015245004222600000030000000000000000S
03202307105385La Palma                                          00083439001260008697800086978000000000000000000019079000290570000035800001082000418570000010000000000000000S
03202307105386La Gomera                                         00021798000320002654000026540000000000000000000003960000061170000015600000397000103700000010000000000000000S
03202307105387El Hierro                                         00011423000180001115500011155000000000000000000002209000035280000009900000196000058350000010000000000000000S
03202307105389Santa Cruz de Tenerife                            01048306013790088121600881217000000000000000000225044003547770000585500016920004803220000060000000000000000S
03202307105999Canarias                                          02177701029430178008701780099000000000000000000467452007342140001207800039568009858870000110000000000000000S
03202307106399Cantabria                                         00585402007770050781900507818000000000000000000200621002820360000655600009317003389310000040000000000000000S
03202307106999Cantabria                                         00585402007770050781900507818000000000000000000200621002820360000655600009317003389310000040000000000000000S
03202307107029Albacete                                          00385727005210030798500307988000000000000000000133681001639840000354600005431002147890000040000000000000000S
03202307107139Ciudad Real                                       00490806007070039148100391495000000000000000000174800002167940000472000007958002738080000040000000000000000S
03202307107169Cuenca                                            00195215003830015267900152694000000000000000000067864000861000000194200002929001101590000040000000000000000S
03202307107199Guadalajara                                       00268127005870019698300196983000000000000000000078708001037030000217900003097001371490000040000000000000000S
03202307107459Toledo                                            00713453009030054256300542567000000000000000000240010003045770000534000010412003769410000040000000000000000S
03202307107999Castilla-La Mancha                                02053328031010159169101591727000000000000000000695063008751580001772700029827011128460000200000000000000000S
03202307108059Ávila                                             00158140003580013666900136669000000000000000000055491000749150000136500002568000949430000040000000000000000S
03202307108099Burgos                                            00355045007460029640100296401000000000000000000111754001451160000378200004233001963770000040000000000000000S
03202307108249León                                              00448179007220042291100422917000000000000000000148014002030480000355400005211002681070000040000000000000000S
03202307108349Palencia                                          00158008003350013764200137642000000000000000000053458000711610000187400002681000932680000040000000000000000S
03202307108379Salamanca                                         00325898006480030050200300506000000000000000000112231001469960000356700004919001925410000040000000000000000S
03202307108409Segovia                                           00153803003300011945300119454000000000000000000050811000671680000167500002377000854520000040000000000000000S
03202307108429Soria                                             00088377002560007576600075768000000000000000000027871000362210000064200000944000493170000040000000000000000S
03202307108479Valladolid                                        00517975007630043137500431381000000000000000000177472002321580000487700006153003073060000040000000000000000S
03202307108499Zamora                                            00167215003690016299700162998000000000000000000058114000774400000205900002571000995610000040000000000000000S
03202307108999Castilla y León                                   02372640045270208371602083736000000000000000000795216010542230002339500031657013868720000360000000000000000S
03202307109089Barcelona                                         05727615064720424348504243500000000000000000001492966019806770004095400049163025683460000040000000000000000S
03202307109179Girona                                            00793478008630054637100546370000000000000000000181058002427860000636100009554003060700000040000000000000000S
03202307109259Lleida                                            00441443005490031722400317225000000000000000000104797001348400000402300005045001749060000040000000000000000S
03202307109439Tarragona                                         00830075010390059665700596689000000000000000000215971002836410000660100012722003503740000040000000000000000S
03202307109999Cataluña                                          07792611089230570373705703784000000000000000001994792026419440005793900076484033996960000160000000000000000S
03202307110069Badajoz                                           00666971009020055068500550702000000000000000000241838002983970000631500012930003784700000040000000000000000S
03202307110109Cáceres                                           00387805005240033948200339491000000000000000000147181001823480000404500007131002283370000040000000000000000S
03202307110999Extremadura                                       01054776014260089016700890193000000000000000000389019004807450001036000020061006068070000080000000000000000S
03202307111159A Coruña                                          01119180015440108567301085673000000000000000000354382005161420001206400013488006490890000040000000000000000S
03202307111279Lugo                                              00323989005330033775400337755000000000000000000100111001452610000387200005346001890970000040000000000000000S
03202307111329Ourense                                           00304280005390035576500355765000000000000000000098689001352100000330400004795001778350000040000000000000000S
03202307111369Pontevedra                                        00943015013440090943300909434000000000000000000311525004439240000895000012488005536730000040000000000000000S
03202307111999Galicia                                           02690464039600268862502688627000000000000000000864707012405370002819000036117015696940000160000000000000000S
03202307112289Madrid                                            06750336071180522453305224561000000000000000001979419026033640004888700057422035256980000040000000000000000S
03202307112999Comunidad de Madrid                               06750336071180522453305224561000000000000000001979419026033640004888700057422035256980000040000000000000000S
03202307113319Navarra                                           00664117009970051991300519918000000000000000000202244002536580000585200007573003301070000040000000000000000S
03202307113999Comunidad Foral de Navarra                        00664117009970051991300519918000000000000000000202244002536580000585200007573003301070000040000000000000000S
03202307114019Araba/Álava                                       00334412004270026021300260214000000000000000000091328001214060000149700003391001655580000040000000000000000S
03202307114209Gipuzkoa                                          00724418008580058587800585873000000000000000000214787002937370000355800007086003683840000040000000000000000S
03202307114489Bizkaia                                           01149344014100094298000942983000000000000000000329580004807940000610800011182005974190000040000000000000000S
03202307114999País Vasco                                        02208174026950178907101789070000000000000000000635695008959370001116300021659011313610000120000000000000000S
03202307115309Murcia                                            01531878017260109970001099703000000000000000000469830005850150000921600015195007312470000040000000000000000S
03202307115999Región de Murcia                                  01531878017260109970001099703000000000000000000469830005850150000921600015195007312470000040000000000000000S
03202307116269La Rioja                                          00319892005160025209200252091000000000000000000107246001338900000271700004003001696910000040000000000000000S
03202307116999La Rioja                                          00319892005160025209200252091000000000000000000107246001338900000271700004003001696910000040000000000000000S
03202307117039Alacant/Alicante                                  01901594022270130626801306311000000000000000000571994007152130001405100021088008721900000040000000000000000S
03202307117129Castelló/Castellón                                00590616007400043082600430830000000000000000000195100002471590000511700007445002984680000040000000000000000S
03202307117469València/Valencia                                 02605757032000199931401999340000000000000000000902181011289970002147000027291013988220000040000000000000000S
03202307117999Comunitat Valenciana                              05097967061670373640803736481000000000000000001669275020913690004063800055824025694800000120000000000000000S
03202307118519Ceuta                                             00083117000960006331000063310000000000000000000016557000237140000042600000975000324900000020000000000000000S
03202307118999Ciudad Autónoma de Ceuta                          00083117000960006331000063310000000000000000000016557000237140000042600000975000324900000020000000000000000S
03202307119529Melilla                                           00085170000870006111800061118000000000000000000012849000176130000040400000758000266480000020000000000000000S
03202307119999Ciudad Autónoma de Melilla                        00085170000870006111800061118000000000000000000012849000176130000040400000758000266480000020000000000000000S
03202307199999España                                            47475420603143746914137469458000000000000000014226892186716070038580500567497238992300002080000000000000000S
