polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,ucd,psoe,pce,ap,ci_u,fn,psa_pa,basque_nationalist_party,hb,erc,ee,pad,cds
PSOE,28/10/1982,28/10/1982,28/10/1982,85300,NA,6.6,48,4.3,26,4,NA,0.4,2,0.9,0.6,0.4,NA,3.1
Ideal,28/10/1982,28/10/1982,28/10/1982,NA,75.7,7.2,45.7,3.8,25.5,4.5,0.4,NA,2.1,1,0.7,0.5,NA,2.6
Sofemasa,17/10/1982,19/10/1982,28/10/1982,18255,78.5,6.5,48.6,5.9,24,2.5,1,NA,1.7,1.1,0.8,0.7,NA,4
Alef,12/10/1982,14/10/1982,28/10/1982,7000,NA,9.5,49.2,7.8,18.2,0.7,1,0.2,2.2,0.9,0.2,0.7,NA,5.9
Sofemasa,05/10/1982,07/10/1982,28/10/1982,1163,NA,5,51,4.3,19.3,NA,0.9,NA,NA,NA,NA,NA,NA,4.6
CDS,04/10/1982,04/10/1982,28/10/1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEE,04/10/1982,04/10/1982,28/10/1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alef,28/09/1982,30/09/1982,28/10/1982,3008,78.8,10.6,45.9,5.8,16.3,NA,0.7,NA,NA,NA,NA,NA,NA,8.4
Sofemasa,28/09/1982,30/09/1982,28/10/1982,2460,NA,4.8,51.5,5.2,14.8,NA,0.5,NA,NA,NA,NA,NA,NA,2.3
AP,27/09/1982,27/09/1982,28/10/1982,6000,NA,NA,NA,NA,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,24/09/1982,26/09/1982,28/10/1982,NA,NA,10,44,7,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCD,22/09/1982,22/09/1982,28/10/1982,25000,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alef,17/09/1982,19/09/1982,28/10/1982,3000,NA,10.7,51.3,6,13,NA,0.5,NA,NA,NA,NA,NA,NA,5.2
El País,09/09/1982,09/09/1982,28/10/1982,NA,NA,13.6,48.3,6.4,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birds,07/09/1982,07/09/1982,28/10/1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC,05/09/1982,05/09/1982,28/10/1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCD,04/09/1982,04/09/1982,28/10/1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sofemasa,28/08/1982,30/08/1982,28/10/1982,2460,NA,8.5,50.7,5.6,11.8,NA,1.4,NA,NA,NA,NA,NA,NA,2.4
Metra Seis,06/08/1982,06/08/1982,28/10/1982,1857,84.8,8,42.1,1.9,12.2,1.9,1.6,0.6,0.5,0.5,1.8,0.5,2.2,NA
ICSA–Gallup,16/07/1982,18/07/1982,28/10/1982,NA,NA,14,45,7,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP,31/05/1982,31/05/1982,28/10/1982,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,23/04/1982,25/04/1982,28/10/1982,NA,NA,17,40,7,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tiempo,12/12/1982,12/12/1982,28/10/1982,NA,NA,21,33.1,9.1,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,20/11/1982,22/11/1982,28/10/1982,NA,NA,20,40,7,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEF,28/10/1982,28/10/1982,28/10/1982,NA,NA,20,40,7,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP,06/10/1982,06/10/1982,28/10/1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,08/07/1982,08/07/1982,28/10/1982,NA,NA,17,44,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,03/06/1982,03/06/1982,28/10/1982,NA,NA,21,45,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,06/05/1982,06/05/1982,28/10/1982,NA,NA,23,43,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,11/04/1982,11/04/1982,28/10/1982,NA,NA,25,40,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,04/03/1982,04/03/1982,28/10/1982,1879,NA,23.6,42,7.9,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,16/01/1982,16/01/1982,28/10/1982,1892,NA,25.9,36.3,9.1,9.1,2.7,2.1,1.8,2.2,1.2,1,NA,NA,NA
ICSA–Gallup,28/01/1982,30/01/1982,28/10/1982,NA,NA,26.2,35.5,9,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,03/11/1982,03/11/1982,28/10/1982,NA,NA,27.4,34.4,8.6,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,06/10/1982,06/10/1982,28/10/1982,1892,NA,28.3,33.9,8.7,8,2.7,1.4,2.4,2.4,1.5,1.3,NA,NA,NA
ICSA–Gallup,17/10/1982,19/10/1982,28/10/1982,NA,NA,28.7,34.7,8.6,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,04/08/1982,04/08/1982,28/10/1982,NA,NA,27.7,33.5,9.4,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,09/06/1982,09/06/1982,28/10/1982,1888,NA,25.8,33.8,10.4,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,14/06/1982,16/06/1982,28/10/1982,1002,NA,26.3,32.7,10,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,11/03/1982,11/03/1982,28/10/1982,NA,NA,29.6,29.3,9.5,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,19/03/1982,21/03/1982,28/10/1982,3047,NA,30.2,29.8,9.8,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,07/01/1982,07/01/1982,28/10/1982,NA,NA,30.8,31.9,10.4,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,05/11/1982,05/11/1982,28/10/1982,NA,NA,32,31.2,11.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,03/09/1982,03/09/1982,28/10/1982,NA,NA,31.7,34.3,9.7,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICSA–Gallup,16/06/1982,18/06/1982,28/10/1982,NA,NA,34,30.8,10.5,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,28/10/1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979 general election,01/03/1982,01/03/1982,28/10/1982,NA,68,34.8,30.4,10.8,6.1,2.7,2.1,1.8,1.6,1,0.7,0.5,NA,NA
,NA,NA,28/10/1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
