polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,ap_pdp_pl,ucd,pce,ci_u,cds,basque_nationalist_party,hb,erc,ee,pa,prd,galician_coalition,muc,iu
COPE,22/06/1986,22/06/1986,22/06/1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cadena SER,22/06/1986,22/06/1986,22/06/1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sofemasa,22/06/1986,22/06/1986,22/06/1986,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTVE,22/06/1986,22/06/1986,22/06/1986,300000,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECO,16/06/1986,16/06/1986,22/06/1986,NA,NA,40.2,25.5,NA,NA,NA,9.9,NA,NA,NA,NA,NA,4,NA,1.3,5.7
Telemarket,14/06/1986,14/06/1986,22/06/1986,10105,NA,39.1,22.2,NA,NA,5.2,5.4,2.5,0.8,0.5,0.5,NA,9.7,NA,NA,5
OTR–Press,14/06/1986,14/06/1986,22/06/1986,2497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aresco,11/06/1986,13/06/1986,22/06/1986,2505,71.1,39.9,28.7,NA,NA,4.5,9,1.8,1,0.3,0.4,NA,3.2,NA,1.3,7.4
Emopública,09/06/1986,11/06/1986,22/06/1986,6081,71.9,45.5,23,NA,NA,NA,10.8,1.7,1.3,1.2,1,NA,6.2,NA,1.2,5.2
ECO,10/06/1986,10/06/1986,22/06/1986,1326,NA,40.2,26.3,NA,NA,4.8,9.6,1.8,1.1,NA,0.6,NA,3.7,NA,1.3,6
Perfiles,08/06/1986,10/06/1986,22/06/1986,NA,NA,39.4,19.3,NA,NA,5.3,2.9,2.3,NA,NA,NA,NA,12.4,NA,NA,7
Gallup,07/06/1986,09/06/1986,22/06/1986,6046,NA,40,24,NA,NA,6,9,2,1,1,1,NA,4,1,2,6
Demoscopia,06/06/1986,08/06/1986,22/06/1986,5200,70,41,24,NA,NA,6,11,3,1.4,1,0.7,0.4,3,NA,0.3,6
Iope–Etmar,05/06/1986,07/06/1986,22/06/1986,7209,72.7,42.4,24.1,NA,NA,4.7,11.7,1.7,1.1,0.6,0.5,NA,2.8,NA,2,4.9
Line Staff,29/05/1986,29/05/1986,22/06/1986,8871,72.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perfiles,01/06/1986,03/06/1986,22/06/1986,4480,NA,40.3,19.7,NA,NA,4.9,2.5,2.2,0.8,0.4,0.6,NA,12.9,NA,NA,6
ECO,01/06/1986,03/06/1986,22/06/1986,1311,73,40.3,26.5,NA,NA,5.4,8.4,1.8,1.2,NA,0.5,NA,3.6,NA,1,5.9
TC–Sigma Dos,30/05/1986,30/05/1986,22/06/1986,1111,NA,38.5,26.5,NA,NA,4.9,8.7,1.9,1,NA,NA,NA,4.7,NA,2.8,6.6
