polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,ap,cds,ci_u,iu,basque_nationalist_party,hb,ee,pa,uv,confederation_of_the_greens,ea,pp,ruiz_mateos_group
PSOE,29/10/1989,29/10/1989,29/10/1989,NA,68,40.8,NA,8.1,5.2,9,1.3,1.1,0.6,1.3,0.5,NA,0.7,24,NA
Metis,29/10/1989,29/10/1989,29/10/1989,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Opina,29/10/1989,29/10/1989,29/10/1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demoscopia,29/10/1989,29/10/1989,29/10/1989,91451,NA,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,29/10/1989,29/10/1989,29/10/1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eco Consulting,22/10/1989,22/10/1989,29/10/1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metra Seis,22/10/1989,22/10/1989,29/10/1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP,22/10/1989,22/10/1989,29/10/1989,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICP–Research,17/10/1989,19/10/1989,29/10/1989,9524,NA,40.5,NA,8.5,4.9,10.3,1.4,1.2,0.5,NA,NA,NA,NA,19.1,NA
Opina,16/10/1989,18/10/1989,29/10/1989,3262,70,41.5,NA,6.5,4.5,7.5,1.9,1,0.8,1.2,0.6,2.2,1,25,2.7
PSOE,17/10/1989,17/10/1989,29/10/1989,NA,NA,40,NA,8,NA,9,NA,NA,NA,NA,NA,NA,NA,21,NA
Sigma Dos,15/10/1989,17/10/1989,29/10/1989,8400,NA,39.2,NA,10.3,4.9,8,1.4,1.1,0.6,1.2,0.3,1.8,0.5,24.2,1.9
Gruppo,15/10/1989,17/10/1989,29/10/1989,1500,70,40.1,NA,9.3,4.8,7.5,1.1,1,0.6,1.2,NA,1.8,0.6,23.6,2.1
