polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,pp,iu,cds,ci_u,basque_nationalist_party,hb,pa,uv,ea,euskadiko_ezkerra,erc,par,cc,galician_nationalist_bloc,andalusian_progress_party
Interior Ministry,06/06/1993,06/06/1993,06/06/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSOE,06/06/1993,06/06/1993,06/06/1993,NA,75,37.5,34.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demoscopia,06/06/1993,06/06/1993,06/06/1993,NA,NA,37.1,34.4,10.2,NA,5,NA,0.6,NA,NA,NA,NA,1.1,NA,NA,NA,NA
Eco Consulting,06/06/1993,06/06/1993,06/06/1993,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,06/06/1993,06/06/1993,06/06/1993,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Motivación,06/06/1993,06/06/1993,06/06/1993,31000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gallup,30/05/1993,30/05/1993,06/06/1993,6050,70.2,32.1,33,10.6,2.6,5.6,1.4,1,NA,0.9,0.5,NA,0.7,NA,0.8,NA,0.5
Opina,25/05/1993,27/05/1993,06/06/1993,2000,NA,35,35.6,11.4,2.1,5,1.3,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA
Vox Pública–Iope,25/05/1993,27/05/1993,06/06/1993,8148,74.8,34.5,32.5,10.1,2.3,5.5,1.5,1.1,0.7,0.9,0.7,NA,0.7,NA,1,0.5,0.5
Sigma Dos,25/05/1993,27/05/1993,06/06/1993,13200,NA,34.6,35.9,11.4,1.4,4.9,1.3,1,0.5,0.5,0.8,NA,0.7,NA,0.6,0.3,0.3
Diario 16,26/05/1993,26/05/1993,06/06/1993,NA,NA,33.9,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demoscopia,24/05/1993,26/05/1993,06/06/1993,11000,73,34.5,34.8,10.7,2.4,5,1.4,0.8,NA,0.6,0.5,NA,0.7,NA,0.7,0.5,NA
Gruppo,23/05/1993,25/05/1993,06/06/1993,5000,NA,35,35.8,12.1,NA,4.9,1.6,1,NA,0.5,0.8,NA,0.6,0.3,0.6,NA,0.3
ICP–Research,22/05/1993,24/05/1993,06/06/1993,10000,76.5,33.5,32.8,10.6,3,5.1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,23/05/1993,23/05/1993,06/06/1993,3000,NA,34,35.2,12.6,1.5,5,1.5,1,0.6,0.5,0.7,NA,0.6,NA,0.5,0.3,0.4
CIS,17/05/1993,19/05/1993,06/06/1993,2496,71.3,33.8,33.8,12.2,1.5,5.9,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vox Pública–Iope,16/05/1993,18/05/1993,06/06/1993,6415,78.5,35,30.7,10.1,2.4,5.6,1.5,0.9,NA,0.7,0.6,NA,0.6,NA,0.9,0.9,0.5
ICP–Research,15/05/1993,17/05/1993,06/06/1993,1000,75.7,35,33,10.7,3.1,5.1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ábaco,14/05/1993,16/05/1993,06/06/1993,14900,NA,31,33.5,11.2,2.5,4.7,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,11/05/1993,13/05/1993,06/06/1993,10200,NA,34.8,35.3,12.4,1.4,5,1.5,1,0.4,0.5,0.7,NA,0.7,NA,0.5,0.3,0.3
Opina,10/05/1993,12/05/1993,06/06/1993,2000,NA,36.6,35.7,10.1,2,5.1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
