polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,pp,iu,ci_u,cds,basque_nationalist_party,cc,hb,erc,par,ea,galician_nationalist_bloc,uv,pa
Eco Consulting,03/03/1996,03/03/1996,03/03/1996,NA,NA,34.8,40.2,11.2,4.4,NA,1.4,NA,NA,0.7,NA,NA,NA,NA,NA
Demoscopia,03/03/1996,03/03/1996,03/03/1996,NA,NA,34.7,40.7,11.2,4.6,NA,1.1,NA,NA,0.8,NA,NA,NA,NA,NA
Sigma Dos,03/03/1996,03/03/1996,03/03/1996,NA,NA,33.7,41.1,11.4,4.2,NA,1.6,0.9,0.8,0.8,NA,0.5,0.9,0.5,NA
CIS,27/02/1996,27/02/1996,03/03/1996,2491,76,36.8,39.2,11.5,4,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA
Inner Line,20/02/1996,22/02/1996,03/03/1996,6048,NA,36.1,40.6,11.9,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demoscopia,19/02/1996,21/02/1996,03/03/1996,3500,80,33.4,42.4,12.3,4.2,NA,1.1,0.8,0.5,0.9,NA,0.4,0.6,0.3,0.6
CIS,19/02/1996,21/02/1996,03/03/1996,6642,75.8,34.1,41.2,11.4,4.5,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA
Metra Seis,19/02/1996,21/02/1996,03/03/1996,15000,78.2,32.2,41.7,11.9,4.2,NA,1.3,0.7,0.7,0.8,NA,0.5,0.7,0.3,0.5
Opina,18/02/1996,20/02/1996,03/03/1996,2369,NA,35,41,10.5,4.5,NA,1.5,NA,NA,1,NA,NA,NA,NA,NA
Sigma Dos–Vox Pública,18/02/1996,20/02/1996,03/03/1996,12990,NA,31.4,42.3,12.2,4.2,NA,1.5,0.6,0.7,0.8,NA,NA,0.7,NA,NA
Metra Seis,19/02/1996,19/02/1996,03/03/1996,7566,79.5,NA,NA,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vox Pública,14/02/1996,16/02/1996,03/03/1996,12069,84,33.5,41.2,11.7,4.5,NA,1.3,0.7,0.7,0.9,NA,0.5,0.6,0.4,NA
ABC,14/02/1996,14/02/1996,03/03/1996,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSOE,08/02/1996,10/02/1996,03/03/1996,2400,NA,36.2,40.3,12.5,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tábula V,08/02/1996,10/02/1996,03/03/1996,3035,NA,32.5,44.1,12.8,4.2,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,06/02/1996,08/02/1996,03/03/1996,1000,NA,31.5,41.8,11.9,4.2,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA
Demoscopia,05/02/1996,07/02/1996,03/03/1996,3500,80,32.6,41.7,12.8,4.5,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA
Opina,04/02/1996,06/02/1996,03/03/1996,1185,78.2,34,40.5,11,4.5,NA,1.5,NA,NA,1,NA,NA,NA,NA,NA
