polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,pp,psoe,iu,ci_u,basque_nationalist_party,cc,galician_nationalist_bloc,hb,eh,erc
Eco Consulting,12/03/2000,12/03/2000,12/03/2000,NA,NA,42.1,32.9,7.5,4,1.9,0.9,1.6,NA,1,0.5
Eco Consulting,12/03/2000,12/03/2000,12/03/2000,NA,NA,41.6,34.6,7,4,1.6,0.9,1.5,NA,0.9,0.4
Sigma Dos,12/03/2000,12/03/2000,12/03/2000,NA,NA,41.1,36.8,6.6,4.3,1.8,1.1,1.3,NA,1.1,NA
Opitel,12/03/2000,12/03/2000,12/03/2000,NA,NA,42,37,7.5,4.5,1.5,NA,NA,NA,NA,NA
Gallup,09/03/2000,11/03/2000,12/03/2000,1228,NA,42.7,33.9,7.8,4.3,1.6,0.7,1.5,NA,0.7,NA
CIS,07/03/2000,07/03/2000,12/03/2000,NA,78.5,43.7,33.7,8.7,4.2,1.7,0.9,1.3,NA,0.9,1.2
La Vanguardia,05/03/2000,05/03/2000,12/03/2000,NA,NA,43.2,35.3,NA,NA,NA,NA,NA,NA,NA,NA
Sondaxe,05/03/2000,05/03/2000,12/03/2000,12001,NA,42.1,37.4,8.1,4.3,1.6,1.1,1.4,NA,1.1,NA
La Vanguardia,03/03/2000,03/03/2000,12/03/2000,NA,NA,45.7,33.2,NA,NA,NA,NA,NA,NA,NA,NA
Demoscopia,25/02/2000,25/02/2000,12/03/2000,15000,74,41.7,37.1,7.3,4.1,1.4,1,1.3,NA,1,0.9
Vox Pública,28/02/2000,28/02/2000,12/03/2000,2300,NA,44.5,33.7,6.2,4.4,1.5,1,1.8,NA,NA,NA
Vox Pública,28/02/2000,28/02/2000,12/03/2000,2300,71.7,41.7,37.6,7.5,4.2,1.6,1.2,1.7,NA,0.9,NA
Metra Seis,21/02/2000,21/02/2000,12/03/2000,2500,71.7,41.5,36.7,8,4.4,1.4,1,1.3,NA,0.7,NA
Ipsos–Eco,27/02/2000,29/02/2000,12/03/2000,15600,74.4,40.5,36.7,7.3,4.3,1.4,1,1.2,NA,0.8,0.6
Sigma Dos,27/02/2000,29/02/2000,12/03/2000,12000,NA,41.9,37.3,6.5,4.5,1.7,0.9,1.3,NA,0.8,NA
Opina,26/02/2000,28/02/2000,12/03/2000,3000,NA,41.8,37.2,8,4.2,1.3,1,1,NA,1,0.6
CIS,26/02/2000,28/02/2000,12/03/2000,24040,72,41.6,36.6,7.4,4.1,1.3,0.8,1.1,NA,0.9,0.7
Gallup,26/02/2000,28/02/2000,12/03/2000,2029,73.8,42.4,37.4,6.9,4.2,1.5,NA,NA,NA,NA,NA
Sondaxe,27/02/2000,27/02/2000,12/03/2000,5455,NA,42.2,36.4,9.1,5.1,1.6,0.8,1.3,NA,NA,NA
Ipsos–Eco,13/02/2000,15/02/2000,12/03/2000,2232,NA,41.8,38.2,7.3,4.5,1.4,NA,1.1,NA,NA,NA
Demoscopia,13/02/2000,13/02/2000,12/03/2000,2000,71.7,41.6,37.3,7.5,4.4,1.4,NA,1.1,NA,NA,NA
Vox Pública,06/02/2000,08/02/2000,12/03/2000,2300,NA,46.3,32.3,7.1,3.7,1.6,0.7,1.2,NA,NA,NA
Vox Pública,06/02/2000,08/02/2000,12/03/2000,2300,71.7,42.6,36.6,7.5,4.2,1.9,NA,NA,NA,NA,NA
Sigma Dos,06/02/2000,06/02/2000,12/03/2000,NA,NA,42.9,36.2,7.8,4.4,1.3,NA,NA,NA,NA,NA
La Vanguardia,30/01/2000,30/01/2000,12/03/2000,NA,NA,44.7,35.1,NA,NA,NA,NA,NA,NA,NA,NA
Opina,23/01/2000,25/01/2000,12/03/2000,3000,NA,42,40,8,4,1.2,1,0.8,NA,0.8,0.5
Opina,23/01/2000,25/01/2000,12/03/2000,3000,NA,42.5,37,7.5,4.3,1.3,1.5,1.3,NA,1,0.8
Gallup,22/01/2000,24/01/2000,12/03/2000,NA,NA,40.7,37.1,7,4.1,1.4,NA,NA,NA,NA,NA
Vox Pública,16/01/2000,18/01/2000,12/03/2000,2300,NA,45,33.3,5.8,4.3,1.2,0.7,1.3,NA,NA,NA
Vox Pública,16/01/2000,18/01/2000,12/03/2000,2300,71.7,43,38,6.5,4.2,1.3,NA,NA,NA,NA,NA
Sigma Dos,28/12/2000,30/12/2000,12/03/2000,12000,NA,42.5,36.8,6.3,4.4,1.4,0.9,1.2,NA,0.6,NA
Gallup,22/12/2000,24/12/2000,12/03/2000,NA,NA,38.6,38.2,6.8,4.5,1.2,NA,NA,NA,NA,NA
Demoscopia,20/12/2000,22/12/2000,12/03/2000,NA,73,40.9,36.5,6.7,4.1,1.5,NA,1.4,NA,NA,NA
Sondaxe,05/12/2000,05/12/2000,12/03/2000,2500,NA,43.8,36.8,7.9,4,2,NA,NA,NA,NA,NA
Gallup,27/11/2000,29/11/2000,12/03/2000,2001,NA,39,38.4,6.3,4.2,1.3,NA,NA,NA,NA,NA
La Vanguardia,28/11/2000,28/11/2000,12/03/2000,NA,NA,42.2,34.2,NA,NA,NA,NA,NA,NA,NA,NA
La Vanguardia,25/11/2000,25/11/2000,12/03/2000,NA,NA,41.1,34.1,NA,NA,NA,NA,NA,NA,NA,NA
