polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,pp,psoe,iu,ci_u,basque_nationalist_party,galician_nationalist_bloc,cc,erc
Sigma Dos,14/03/2004,14/03/2004,14/03/2004,NA,NA,37.5,42.7,5.3,3.1,1.7,NA,NA,NA
Sigma Dos,14/03/2004,14/03/2004,14/03/2004,75000,NA,38.5,41,5.4,3.3,1.6,1,0.9,2.3
Ipsos–Eco,14/03/2004,14/03/2004,14/03/2004,210000,NA,36.9,41.4,6.3,3,1.4,0.9,0.9,2.3
TNS Demoscopia,11/03/2004,13/03/2004,14/03/2004,NA,NA,40.6,38.3,6.5,3,1.5,NA,0.9,2.7
Opina,12/03/2004,12/03/2004,14/03/2004,NA,NA,39.5,40.5,6.1,3,1.2,NA,NA,NA
Sigma Dos,12/03/2004,12/03/2004,14/03/2004,NA,NA,40.3,39.6,5.2,3.3,1.8,NA,NA,NA
Sigma Dos,10/03/2004,10/03/2004,14/03/2004,NA,NA,41.2,38.4,5.3,3.3,1.8,NA,NA,NA
TNS Demoscopia,08/03/2004,08/03/2004,14/03/2004,3031,NA,42.5,37.8,NA,NA,NA,NA,NA,NA
Opina,07/03/2004,07/03/2004,14/03/2004,NA,NA,40.5,38,5.8,3.6,1.4,1.1,0.8,2
Opina,06/03/2004,06/03/2004,14/03/2004,NA,NA,40.5,37,5.8,3.8,1.5,NA,NA,NA
Sigma Dos,04/03/2004,06/03/2004,14/03/2004,1000,NA,42.1,37.6,5.3,3.4,1.8,1.2,1,2
Celeste-Tel,04/03/2004,06/03/2004,14/03/2004,601,74.1,42.9,37.6,6.6,3.4,1.7,1.1,0.9,1.6
Opina,05/03/2004,05/03/2004,14/03/2004,NA,NA,41,37,6,4,1.5,NA,NA,NA
Celeste-Tel,17/02/2004,17/02/2004,14/03/2004,2404,72.1,42.9,37.2,5.9,3.5,1.7,NA,0.9,1.5
Opina,04/03/2004,04/03/2004,14/03/2004,NA,NA,41.5,36.5,7,3.5,1.5,NA,NA,NA
TNS Demoscopia,03/03/2004,03/03/2004,14/03/2004,NA,NA,42.1,37,NA,NA,NA,NA,NA,NA
Opina,03/03/2004,03/03/2004,14/03/2004,NA,NA,41.5,36.5,6.5,3,1.6,1.1,0.8,2
Vox Pública,01/03/2004,03/03/2004,14/03/2004,2071,71.3,42.5,37.3,7.1,3.2,1.5,NA,NA,1.9
Citigate Sanchís,01/03/2004,03/03/2004,14/03/2004,1007,NA,42.8,37.3,5.7,3.1,1.5,NA,1.4,2.2
Noxa,27/02/2004,27/02/2004,14/03/2004,2200,NA,41.4,39.2,6.3,3,2.1,NA,1,2.1
Opina,02/03/2004,02/03/2004,14/03/2004,NA,NA,41,36.5,6.5,3.2,1.7,NA,NA,NA
Sigma Dos,24/02/2004,24/02/2004,14/03/2004,12500,NA,42.8,36.6,5.7,3.3,1.8,1.2,NA,1.9
Opina,01/03/2004,01/03/2004,14/03/2004,NA,NA,40.5,36.5,6.5,3.2,1.7,NA,NA,NA
Opina,27/02/2004,27/02/2004,14/03/2004,4000,NA,42,38,6.3,3,1.7,0.9,0.9,1.9
Opina,29/02/2004,29/02/2004,14/03/2004,NA,NA,40.5,36.5,7,3.5,1.5,1,1,1.5
Ipsos–Eco,29/02/2004,29/02/2004,14/03/2004,NA,NA,41.3,37.4,NA,NA,NA,NA,NA,NA
Citigate Sanchís,29/02/2004,29/02/2004,14/03/2004,NA,NA,44.4,36.8,5.6,3.2,2.1,NA,NA,NA
Opina,28/02/2004,28/02/2004,14/03/2004,NA,NA,41,36.5,6.5,3.8,1.6,NA,NA,NA
Opina,27/02/2004,27/02/2004,14/03/2004,NA,NA,41.5,36.5,6.4,3.8,1.6,NA,NA,NA
Atento STC,25/02/2004,27/02/2004,14/03/2004,NA,NA,40.4,37.5,5,NA,NA,NA,NA,NA
Opina,26/02/2004,26/02/2004,14/03/2004,3000,NA,41.5,36.5,6,4,1.5,NA,NA,NA
Infortécnica,26/02/2004,26/02/2004,14/03/2004,4656,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,25/02/2004,25/02/2004,14/03/2004,NA,NA,43.3,35.8,5.8,3.6,1.4,NA,NA,NA
Celeste-Tel,23/02/2004,25/02/2004,14/03/2004,NA,NA,42.2,36.1,5.4,3.9,1.8,NA,NA,NA
TNS Demoscopia,23/02/2004,25/02/2004,14/03/2004,12760,71.3,42.2,37.2,7,3.1,1.5,1,0.9,2.1
Gallup,18/02/2004,20/02/2004,14/03/2004,2036,69.1,43.9,35.1,6.1,3.2,1.5,NA,NA,NA
Metra Seis,14/02/2004,16/02/2004,14/03/2004,5200,71.3,42,36.2,5.8,3.4,1.9,1.2,0.9,2.1
CIS,24/01/2004,24/01/2004,14/03/2004,24109,75.1,42.2,35.5,6.6,3.7,1.8,1.2,1,1.9
Noxa,10/02/2004,12/02/2004,14/03/2004,1800,NA,42.6,38.6,5.8,2.8,2.2,NA,0.9,2
Opina,11/02/2004,11/02/2004,14/03/2004,1000,NA,41,38,5,5,2,NA,NA,NA
Sigma Dos,08/02/2004,10/02/2004,14/03/2004,1000,NA,43.5,35.4,5.2,3.8,1.6,NA,NA,NA
Celeste-Tel,08/02/2004,08/02/2004,14/03/2004,NA,NA,43.9,35.8,5.4,3.9,1.8,NA,NA,NA
Sigma Dos,08/02/2004,08/02/2004,14/03/2004,NA,NA,44.3,34.8,5.6,3.6,1.5,NA,NA,NA
Opina,31/01/2004,31/01/2004,14/03/2004,1000,NA,41,37,4,4,2,NA,NA,NA
Opina,25/01/2004,25/01/2004,14/03/2004,3000,NA,42.5,37,5.5,3.5,1.5,1,1.3,1.5
Gallup,20/01/2004,22/01/2004,14/03/2004,2028,68.3,41.9,36.2,6.7,4.3,1.7,NA,NA,NA
Vox Pública,19/01/2004,21/01/2004,14/03/2004,1501,NA,43,38,5.5,3,1.5,NA,NA,NA
Opina,16/01/2004,16/01/2004,14/03/2004,1000,NA,42,38,4.5,3.5,1.5,NA,NA,NA
Noxa,07/01/2004,09/01/2004,14/03/2004,1000,NA,42.6,36.5,7.2,3,2.1,NA,1,1.4
Sigma Dos,04/01/2004,04/01/2004,14/03/2004,NA,NA,44.6,33.9,6.2,3.8,1.3,NA,NA,NA
Opina,02/01/2004,02/01/2004,14/03/2004,NA,NA,42,40,6,3.5,2,NA,NA,NA
Gallup,17/12/2004,19/12/2004,14/03/2004,2025,70,44.1,35.2,6.1,3.6,1.6,NA,NA,NA
Celeste-Tel,07/12/2004,07/12/2004,14/03/2004,NA,NA,43,35.5,5.9,3.6,2,NA,NA,NA
Sigma Dos,07/12/2004,07/12/2004,14/03/2004,NA,NA,44.8,33.7,6.1,3.9,1.5,NA,NA,NA
Opina,07/12/2004,07/12/2004,14/03/2004,1000,NA,42,39,5.5,4,2,NA,NA,NA
Metra Seis,03/12/2004,05/12/2004,14/03/2004,NA,NA,44.5,33.1,6.3,4.1,1.4,NA,NA,NA
Gallup,23/11/2004,25/11/2004,14/03/2004,2032,70.5,43.3,36.5,6.7,3.5,1.6,NA,NA,NA
Opina,19/11/2004,19/11/2004,14/03/2004,1000,NA,42,39,5,4,2,NA,NA,NA
CIS,29/10/2004,31/10/2004,14/03/2004,2488,NA,42.4,34.7,5.9,4,1.4,1.3,NA,NA
Gallup,20/10/2004,22/10/2004,14/03/2004,2016,69.9,42.4,36.8,6.2,3.4,1.6,NA,NA,NA
Intercampo,17/09/2004,17/09/2004,14/03/2004,1714,NA,43.8,34.3,6.4,3.8,1.5,NA,NA,NA
Sigma Dos,28/09/2004,28/09/2004,14/03/2004,NA,NA,43.8,35.3,5.1,4,1.4,NA,NA,NA
Opina,24/09/2004,24/09/2004,14/03/2004,1000,NA,42,39,6.5,4,2,NA,NA,NA
Vox Pública,22/09/2004,24/09/2004,14/03/2004,1502,NA,44.2,37.1,6,3,1.6,NA,NA,NA
Gallup,22/09/2004,24/09/2004,14/03/2004,2027,71.2,43,35.3,7.2,3.5,1.6,NA,NA,NA
Opina,10/09/2004,10/09/2004,14/03/2004,1000,NA,42,39,5,4,2,NA,NA,NA
Opina,07/09/2004,07/09/2004,14/03/2004,1000,NA,42,38,6.5,5.5,1.8,NA,NA,NA
Celeste-Tel,07/09/2004,07/09/2004,14/03/2004,NA,NA,43.2,35.3,5.9,3.7,1.9,NA,NA,NA
Opina,02/09/2004,02/09/2004,14/03/2004,1000,NA,42,39,6,5,2,NA,NA,NA
Opina,27/08/2004,27/08/2004,14/03/2004,1000,NA,42,39,6.5,5.5,2,NA,NA,NA
Gallup,16/08/2004,18/08/2004,14/03/2004,2026,70.2,43.6,36.5,5.4,3.7,1.5,NA,NA,NA
Gallup,22/07/2004,24/07/2004,14/03/2004,2032,70.7,42.9,37.4,5.9,3.4,1.4,NA,NA,NA
Sigma Dos,20/07/2004,20/07/2004,14/03/2004,NA,NA,42.8,35.9,5.6,3.9,1.5,NA,NA,NA
CIS,06/07/2004,08/07/2004,14/03/2004,2476,NA,41.2,35.2,6.3,3.8,1.2,1.5,NA,NA
Ibecom,06/07/2004,06/07/2004,14/03/2004,NA,NA,43.6,33.9,4.4,4.3,1.3,NA,NA,NA
Opina,01/07/2004,01/07/2004,14/03/2004,1000,NA,40,39,5,5,2,NA,NA,NA
Sigma Dos,24/06/2004,26/06/2004,14/03/2004,1000,NA,42.6,35.4,6.2,4,1.6,NA,NA,NA
Vox Pública,23/06/2004,25/06/2004,14/03/2004,1502,NA,41.6,37.5,5.9,3.1,1.2,NA,NA,NA
Gallup,18/06/2004,20/06/2004,14/03/2004,2024,75.1,40.7,37.2,7.4,3.2,1.2,NA,NA,NA
Opina,11/06/2004,11/06/2004,14/03/2004,NA,NA,42,39,4.5,4.5,2,NA,NA,NA
Opina,28/05/2004,28/05/2004,14/03/2004,NA,NA,41,41,5,4,2,NA,NA,NA
Gallup,24/05/2004,26/05/2004,14/03/2004,2026,73.4,38.4,38.8,6.8,2.9,1.4,NA,NA,NA
