polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,pp,iu,ci_u,erc,basque_nationalist_party,cc,galician_nationalist_bloc,u_py_d
Ipsos,09/03/2008,09/03/2008,09/03/2008,210000,NA,45,38.6,3.4,3.1,1.2,1.4,0.6,0.8,1.1
TNS Demoscopia,09/03/2008,09/03/2008,09/03/2008,40000,NA,43.3,38,5.2,3.1,2.3,1.6,0.7,0.7,1
Opina,09/03/2008,09/03/2008,09/03/2008,NA,NA,44.5,37.5,5,2.5,2,1.1,0.4,0.8,0.1
Demométrica,09/03/2008,09/03/2008,09/03/2008,NA,NA,44.9,36.9,5.2,2.7,1.5,1.4,NA,NA,NA
GESOP,06/03/2008,08/03/2008,09/03/2008,1000,72,43.4,38.1,NA,NA,NA,NA,NA,NA,NA
GESOP,05/03/2008,07/03/2008,09/03/2008,1000,71,43,39,NA,NA,NA,NA,NA,NA,NA
GESOP,04/03/2008,06/03/2008,09/03/2008,1200,70,42.6,38.6,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,05/03/2008,05/03/2008,09/03/2008,1000,71.9,43.1,39.3,4.9,2.9,1.6,1.5,NA,NA,NA
GESOP,03/03/2008,05/03/2008,09/03/2008,1000,68,42.4,39,NA,NA,NA,NA,NA,NA,NA
GESOP,02/03/2008,04/03/2008,09/03/2008,600,68,41.5,39,NA,NA,NA,NA,NA,NA,NA
Demo Ibérica,03/03/2008,03/03/2008,09/03/2008,NA,70.9,42.1,39.8,NA,NA,NA,NA,NA,NA,NA
Opina,02/03/2008,02/03/2008,09/03/2008,NA,74,43.5,38,5,2.8,1.6,1.2,NA,NA,NA
Demométrica,29/02/2008,29/02/2008,09/03/2008,3000,NA,44.1,38,5.2,NA,NA,NA,NA,NA,NA
Ipsos,29/02/2008,29/02/2008,09/03/2008,NA,71.9,43.4,38.5,5.3,3,1.9,1.6,0.6,0.8,NA
Opina,01/03/2008,01/03/2008,09/03/2008,3000,72,44,38,5,2.7,1.5,1.2,NA,NA,NA
Demométrica,28/02/2008,28/02/2008,09/03/2008,3000,NA,44.3,38,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,20/02/2008,20/02/2008,09/03/2008,11000,71.9,43.4,39.3,4.4,3.2,1.9,1.5,0.7,0.6,0.8
Obradoiro de Socioloxía,18/02/2008,18/02/2008,09/03/2008,7200,NA,43.9,39.5,4.8,2.7,NA,NA,NA,NA,NA
Opina,29/02/2008,29/02/2008,09/03/2008,NA,NA,44,38.5,5,2.7,1.5,1.2,NA,NA,NA
Intereconomía,29/02/2008,29/02/2008,09/03/2008,NA,72,37.6,40.5,5.5,3.4,2.5,1.7,NA,NA,NA
Demométrica,27/02/2008,29/02/2008,09/03/2008,3000,NA,44.6,38.2,NA,NA,NA,NA,NA,NA,NA
Noxa,27/02/2008,29/02/2008,09/03/2008,1200,NA,43.5,39.5,4.4,2.5,1.8,1.3,NA,NA,NA
Infortécnica,27/02/2008,29/02/2008,09/03/2008,1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Opina,28/02/2008,28/02/2008,09/03/2008,NA,72,44.5,39.5,4.7,2.5,1.5,1.2,NA,NA,NA
Demométrica,26/02/2008,28/02/2008,09/03/2008,3000,NA,44.5,38.4,5.1,NA,NA,NA,NA,NA,NA
Obradoiro de Socioloxía,26/02/2008,28/02/2008,09/03/2008,1810,NA,45,38.8,4.5,3.1,1.5,1.5,NA,NA,NA
DYM,26/02/2008,28/02/2008,09/03/2008,1075,NA,42,40,4.1,NA,NA,NA,NA,NA,NA
Opina,27/02/2008,27/02/2008,09/03/2008,9000,NA,44,39,4,2.3,1.5,1.5,NA,NA,NA
TNS Demoscopia,25/02/2008,27/02/2008,09/03/2008,NA,75.5,42.3,38.5,NA,NA,NA,NA,NA,NA,NA
Demométrica,25/02/2008,27/02/2008,09/03/2008,3000,76.3,44.1,38.8,5.2,NA,NA,NA,NA,NA,NA
Obradoiro de Socioloxía,25/02/2008,27/02/2008,09/03/2008,NA,NA,45.3,38.9,4.7,3.1,1.5,1.5,NA,NA,NA
Sondaxe,25/02/2008,27/02/2008,09/03/2008,1300,74.4,43.5,40,4.6,2.7,1.7,1.4,NA,1.1,1.3
Metroscopia,25/02/2008,27/02/2008,09/03/2008,8750,71.9,42.9,38.8,4.8,2.6,1.9,1.5,0.6,NA,1.1
Demo Ibérica,26/02/2008,26/02/2008,09/03/2008,NA,70.9,41.7,39.6,NA,NA,NA,NA,NA,NA,NA
Opina,26/02/2008,26/02/2008,09/03/2008,NA,NA,44,39,4,2.3,1.5,1.5,NA,NA,NA
GESOP,26/02/2008,26/02/2008,09/03/2008,600,68,42.5,37,NA,NA,NA,NA,NA,NA,NA
Demométrica,24/02/2008,26/02/2008,09/03/2008,8000,NA,44.2,38.6,5.3,NA,NA,NA,NA,NA,NA
Obradoiro de Socioloxía,24/02/2008,26/02/2008,09/03/2008,NA,NA,45.3,38.7,4.5,3.1,1.4,1.4,NA,NA,NA
Opina,25/02/2008,25/02/2008,09/03/2008,NA,NA,44,39,4,2.3,1.5,1.5,NA,NA,NA
Demométrica,23/02/2008,25/02/2008,09/03/2008,NA,NA,43.2,38.5,NA,NA,NA,NA,NA,NA,NA
Obradoiro de Socioloxía,23/02/2008,25/02/2008,09/03/2008,1796,NA,45.3,38.5,4.8,3,1.3,1.4,NA,NA,NA
Opina,24/02/2008,24/02/2008,09/03/2008,NA,NA,44,40,4.5,2.6,1.7,1.4,NA,NA,NA
Demométrica,22/02/2008,24/02/2008,09/03/2008,NA,NA,42.9,38.7,NA,NA,NA,NA,NA,NA,NA
Ipsos,22/02/2008,24/02/2008,09/03/2008,NA,71.9,41.7,38.2,NA,2.8,2.2,1.4,NA,NA,NA
Opina,23/02/2008,23/02/2008,09/03/2008,NA,NA,44.5,41.5,4,2.8,1.7,1.2,NA,NA,NA
Demométrica,21/02/2008,23/02/2008,09/03/2008,NA,NA,43,37.9,NA,NA,NA,NA,NA,NA,NA
Obradoiro de Socioloxía,21/02/2008,23/02/2008,09/03/2008,NA,NA,44.7,39.3,4.2,3.1,1.3,1.4,NA,NA,NA
Demo Ibérica,22/02/2008,22/02/2008,09/03/2008,NA,70.7,41.5,39.6,NA,3.4,NA,NA,NA,NA,0.7
Opina,22/02/2008,22/02/2008,09/03/2008,NA,NA,42,40,4,2.6,1.7,1.3,NA,NA,NA
Metroscopia,22/02/2008,22/02/2008,09/03/2008,600,71.9,42.3,38.6,4.5,NA,NA,NA,NA,NA,NA
Demométrica,20/02/2008,22/02/2008,09/03/2008,NA,NA,43.1,37.8,NA,NA,NA,NA,NA,NA,NA
Obradoiro de Socioloxía,20/02/2008,22/02/2008,09/03/2008,1812,NA,44,40,4.5,3,1.4,1.3,NA,NA,NA
Invymark,20/02/2008,22/02/2008,09/03/2008,NA,NA,42.7,38,NA,NA,NA,NA,NA,NA,NA
Opina,21/02/2008,21/02/2008,09/03/2008,NA,NA,41.5,40,4.5,2.6,1.7,1.3,NA,NA,NA
Demométrica,19/02/2008,21/02/2008,09/03/2008,NA,NA,43.3,37.5,NA,NA,NA,NA,NA,NA,NA
Obradoiro de Socioloxía,19/02/2008,21/02/2008,09/03/2008,NA,NA,43.1,40.9,4.3,2.8,1.5,1.4,NA,NA,NA
DYM,19/02/2008,21/02/2008,09/03/2008,1074,NA,42,39.2,3.9,NA,NA,NA,NA,NA,NA
TNS Demoscopia,18/02/2008,20/02/2008,09/03/2008,NA,73.6,42,39.7,5.4,2.7,2.2,1.5,NA,NA,NA
Obradoiro de Socioloxía,18/02/2008,20/02/2008,09/03/2008,1812,NA,42.8,40.4,4.6,2.6,1.3,1.4,NA,NA,NA
Append,16/02/2008,18/02/2008,09/03/2008,4989,74.4,41.4,38.8,4.8,3,2,1.5,0.7,0.6,0.5
TNS Demoscopia,16/02/2008,18/02/2008,09/03/2008,NA,72.4,41.8,40.2,5.4,2.9,1.9,1.6,NA,NA,NA
Ipsos,15/02/2008,17/02/2008,09/03/2008,NA,71.9,42.3,37.3,4.5,NA,NA,NA,NA,NA,0.5
GESOP,15/02/2008,17/02/2008,09/03/2008,1500,71.9,40.5,37,4.9,2.6,1.7,1.4,NA,NA,NA
ASEP,15/02/2008,17/02/2008,09/03/2008,1201,75.5,40.7,38.5,NA,NA,NA,NA,NA,NA,NA
Metroscopia,15/02/2008,15/02/2008,09/03/2008,600,71.9,41.9,38.9,5,NA,NA,NA,NA,NA,NA
Invymark,13/02/2008,15/02/2008,09/03/2008,NA,NA,42.8,38.4,NA,NA,NA,NA,NA,NA,NA
Noxa,12/02/2008,14/02/2008,09/03/2008,1800,NA,43.1,39.1,5,3,1.5,1.4,NA,NA,NA
DYM,12/02/2008,14/02/2008,09/03/2008,1057,NA,42.2,39.2,3.9,NA,NA,NA,NA,NA,NA
Obradoiro de Socioloxía,07/01/2008,07/01/2008,09/03/2008,12000,NA,42.6,40.1,4.9,2.6,1.3,1.3,NA,NA,NA
Ipsos,08/02/2008,10/02/2008,09/03/2008,NA,71.9,41.1,39.8,5.1,NA,NA,NA,NA,NA,NA
