polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,pp,iu_lv,ci_u,basque_nationalist_party,u_py_d,erc,galician_nationalist_bloc,cc,amaiur
TNS Demoscopia,20/11/2011,20/11/2011,20/11/2011,190000,NA,30,43.5,6.7,3.4,1.2,4.3,1.1,0.8,0.6,1.4
NC Report,20/11/2011,20/11/2011,20/11/2011,771,71.1,31.7,45.5,7.9,3.3,1.2,2.4,0.7,1,0.8,NA
PP,19/11/2011,19/11/2011,20/11/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,16/11/2011,16/11/2011,20/11/2011,NA,NA,28,48,6.7,3.1,NA,3.8,NA,NA,NA,NA
Infortécnica,13/11/2011,13/11/2011,20/11/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GESOP,10/11/2011,12/11/2011,20/11/2011,2070,NA,30.2,46.2,6,3.2,1.1,4.4,1.1,NA,NA,1.1
Tábula V,09/11/2011,11/11/2011,20/11/2011,1400,79,31.3,45.2,8.9,3.2,1.4,3.2,1.3,0.8,0.6,1.6
NC Report,27/10/2011,27/10/2011,20/11/2011,5750,NA,31,45.9,7.2,3.3,1.3,2.8,0.9,1,0.8,NA
Opinión 2000,08/11/2011,10/11/2011,20/11/2011,1000,NA,32,45,6,3.5,1.5,3,1,NA,NA,1
Noxa,08/11/2011,10/11/2011,20/11/2011,1275,70,30.1,44.7,7.8,3.3,1,4.6,0.7,NA,NA,0.6
Simple Lógica,08/11/2011,10/11/2011,20/11/2011,1009,73.7,31.2,46.1,5.5,3.5,0.6,3.7,NA,NA,NA,NA
GAD3,08/11/2011,10/11/2011,20/11/2011,1395,NA,31.8,45.4,5.6,3.3,1.3,3.4,0.8,0.8,0.9,1.4
Sigma Dos,28/10/2011,28/10/2011,20/11/2011,3000,NA,29.8,47.6,5.7,3.8,1.3,3,0.9,NA,NA,NA
Sondaxe,28/10/2011,28/10/2011,20/11/2011,NA,NA,31.6,47.1,5.3,3.6,0.7,2.3,0.8,0.7,0.2,NA
Celeste-Tel,06/11/2011,08/11/2011,20/11/2011,1100,NA,31.5,44.7,7,3.3,1.3,2.6,0.9,1.2,0.9,NA
Metroscopia,18/10/2011,18/10/2011,20/11/2011,9675,70,30.9,45.4,8.8,3.3,1.2,4.2,0.9,0.7,0.3,0.6
TNS Demoscopia,05/11/2011,07/11/2011,20/11/2011,1505,74.3,28.7,47.7,7.6,3.4,1.1,4.2,1.2,NA,NA,NA
Sigma Dos,04/11/2011,06/11/2011,20/11/2011,NA,NA,30.1,48.2,5.4,3.6,1.3,3,0.9,NA,NA,NA
Ipsos,04/11/2011,06/11/2011,20/11/2011,3935,NA,31.8,44.5,NA,NA,NA,NA,NA,NA,NA,NA
InvyMark,31/10/2011,31/10/2011,20/11/2011,NA,NA,34.4,46.5,4.6,NA,NA,NA,NA,NA,NA,NA
PP,03/11/2011,03/11/2011,20/11/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,31/10/2011,31/10/2011,20/11/2011,3000,NA,30.6,47.6,5.3,3.5,1.3,3,0.9,NA,NA,NA
