polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,pp,psoe,iu_u_pe_c,upyd,ci_u,eh_bildu,basque_nationalist_party,erc_cat_si,galician_nationalist_bloc,cc,compromis,cs,podemos,cdc
TNS Demoscopia,20/12/2015,20/12/2015,20/12/2015,177100,NA,26.8,20.5,4.1,1.1,NA,1,1.1,2.5,0.3,0.3,NA,15.2,21.7,1.7
Redondo & Asociados,17/12/2015,19/12/2015,20/12/2015,1790,NA,29.3,20.7,3.3,0.3,NA,1.2,1.4,1.7,0.3,0.4,NA,16.6,19.5,1.8
GESOP,17/12/2015,19/12/2015,20/12/2015,950,72.5,26.6,20.1,4,NA,NA,NA,NA,NA,NA,NA,NA,15.3,21.5,NA
GESOP,16/12/2015,18/12/2015,20/12/2015,800,72.5,26.6,20.8,4.4,NA,NA,NA,NA,NA,NA,NA,NA,15.5,20.1,NA
GAD3,16/12/2015,18/12/2015,20/12/2015,7000,74,28.1,20.4,4.3,NA,NA,0.9,1.3,2.7,NA,0.3,NA,14.9,21.1,1.8
GESOP,15/12/2015,17/12/2015,20/12/2015,750,72.5,25.8,21.4,3.8,NA,NA,NA,NA,NA,NA,NA,NA,16,20.4,NA
GESOP,14/12/2015,16/12/2015,20/12/2015,700,72.5,26.2,21,3.7,NA,NA,NA,NA,NA,NA,NA,NA,15.9,20.4,NA
GESOP,13/12/2015,15/12/2015,20/12/2015,650,NA,25.4,20.6,4.5,NA,NA,NA,NA,NA,NA,NA,NA,16.3,19.6,NA
GESOP,12/12/2015,14/12/2015,20/12/2015,700,NA,25.4,20.9,4.8,NA,NA,NA,NA,NA,NA,NA,NA,17.2,19,NA
GAD3,12/12/2015,14/12/2015,20/12/2015,3200,NA,28.6,21,3.9,NA,NA,1.1,1.3,2.3,NA,0.4,NA,17.6,17.9,2.4
Encuestamos,12/12/2015,14/12/2015,20/12/2015,2000,NA,26.9,22.9,4,NA,NA,1.1,1.4,2.2,NA,NA,NA,17,18.6,1.9
GIPEyOP,27/11/2015,27/11/2015,20/12/2015,14005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JM&A,13/12/2015,13/12/2015,20/12/2015,NA,74.6,27.7,18.6,3.1,0.3,NA,1,1.3,2.1,0.5,0.5,NA,20.1,18,2.3
TNS Demoscopia,30/11/2015,30/11/2015,20/12/2015,1017,NA,28.9,18.9,4.8,NA,NA,NA,NA,NA,NA,NA,NA,20,17.3,NA
GESOP,10/12/2015,12/12/2015,20/12/2015,800,NA,25.2,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18.4,NA
NC Report,10/12/2015,12/12/2015,20/12/2015,3000,75.8,29.9,22,3.3,0.3,NA,1.1,1,2,0.4,0.3,NA,17.8,16.3,1.9
Celeste-Tel,09/12/2015,11/12/2015,20/12/2015,1100,72.7,28.1,22.7,3.5,0.4,NA,1.1,1.2,2,0.4,0.3,NA,18.1,17,2
