polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,pp,psoe,podemos,cs,iu_u_pe_c,erc_cat_si,di_l,cdc,basque_nationalist_party,pacma,eh_bildu,cc
Sigma Dos,26/06/2016,26/06/2016,26/06/2016,132000,NA,28.5,22,NA,11.8,NA,3.1,1.4,1.3,NA,1,0.3,25.6
NC Report,25/06/2016,25/06/2016,26/06/2016,NA,NA,31.9,22,NA,13,NA,2.4,1.8,1.1,NA,0.8,0.3,23.7
GESOP,23/06/2016,25/06/2016,26/06/2016,1000,69,28.7,21.6,NA,14.5,NA,NA,NA,NA,NA,NA,NA,23.9
GESOP,22/06/2016,24/06/2016,26/06/2016,900,69,28.7,21.6,NA,14.9,NA,NA,NA,NA,NA,NA,NA,23.7
GAD3,22/06/2016,24/06/2016,26/06/2016,4000,NA,30.4,21.8,NA,13.2,NA,2.8,1.6,1.2,NA,0.9,0.3,24.8
NC Report,23/06/2016,23/06/2016,26/06/2016,NA,NA,31.7,21.6,NA,13.1,NA,2.3,1.7,1.1,NA,0.7,0.3,24.5
GESOP,21/06/2016,23/06/2016,26/06/2016,900,69,28,21.8,NA,15.2,NA,NA,NA,NA,NA,NA,NA,24
GESOP,20/06/2016,22/06/2016,26/06/2016,900,69,28.2,21.7,NA,15.2,NA,NA,NA,NA,NA,NA,NA,23.6
NC Report,21/06/2016,21/06/2016,26/06/2016,NA,NA,31.3,21.4,NA,13.2,NA,2.3,1.7,1.1,NA,0.7,0.3,25.1
GESOP,19/06/2016,21/06/2016,26/06/2016,900,69,28.5,21.5,NA,15.2,NA,NA,NA,NA,NA,NA,NA,23.7
GESOP,18/06/2016,20/06/2016,26/06/2016,900,69,29,21.5,NA,14.9,NA,NA,NA,NA,NA,NA,NA,23.7
GAD3,18/06/2016,20/06/2016,26/06/2016,1900,NA,30.7,21.2,NA,14.1,NA,NA,NA,NA,NA,NA,NA,24.9
GIPEyOP,18/06/2016,20/06/2016,26/06/2016,10244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Redondo & Asociados,19/06/2016,19/06/2016,26/06/2016,NA,NA,29.4,21.5,NA,15.1,NA,NA,NA,NA,NA,NA,NA,24.9
JM&A,19/06/2016,19/06/2016,26/06/2016,NA,69,29.8,22.1,NA,13.9,NA,2.4,2.2,1.3,NA,0.9,0.3,23.9
