polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,pp,cs,unidas_podemos,vox,erc_sobiranistes,jx_cat,basque_nationalist_party,eh_bildu,compromis,cc_n_ca,na,regionalist_party_of_cantabria,mas_pais,cup
NC Report,10/11/2019,10/11/2019,10/11/2019,NA,NA,26.9,21.4,8.9,12.5,13.6,3.8,1.7,1.7,1,NA,0.7,0.5,0.2,3,1
SocioMétrica,08/11/2019,10/11/2019,10/11/2019,4000,NA,26.1,19.9,7.8,14,14.1,3.5,1.7,1.5,1.1,NA,0.4,0.3,0.2,3.4,1.5
Celeste-Tel,08/11/2019,10/11/2019,10/11/2019,1100,67.8,27.4,20.8,8.5,12.9,13.5,3.6,1.8,1.7,1.1,NA,0.8,0.4,0.2,2.8,1.1
GAD3,25/10/2019,25/10/2019,10/11/2019,13000,72,27.3,20.1,8.5,12.2,16.3,3.5,1.6,1.5,1,NA,0.5,0.4,0.2,2.1,1.2
GESOP,07/11/2019,09/11/2019,10/11/2019,903,68.4,26.7,19.4,7.9,14.3,14.9,2.6,1.4,NA,NA,NA,NA,NA,NA,2.8,1.1
ElectoPanel,06/11/2019,08/11/2019,10/11/2019,1250,NA,27.1,20.4,7.3,13.7,15.5,3.7,1.6,1.5,1,NA,0.7,0.4,0.2,3,1.2
GESOP,06/11/2019,08/11/2019,10/11/2019,903,NA,26.3,19,7.5,14,15.6,2.7,1.4,NA,NA,NA,NA,NA,NA,2.9,1.1
Demoscopia Servicios,07/11/2019,07/11/2019,10/11/2019,NA,72.1,26.6,20.9,7.2,13.2,15.7,4.1,1.5,1.5,1,NA,0.6,0.4,0.3,2.7,1
ElectoPanel,05/11/2019,07/11/2019,10/11/2019,1250,NA,27.3,20.1,7.8,13.5,15.2,3.7,1.6,1.5,1,NA,0.7,0.4,0.2,3.1,1.2
GESOP,05/11/2019,07/11/2019,10/11/2019,904,NA,26.9,20.1,6.5,13.4,15.6,2.7,1.6,NA,NA,NA,NA,NA,NA,2.5,1.4
PSOE,06/11/2019,06/11/2019,10/11/2019,NA,NA,30,NA,7,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ElectoPanel,04/11/2019,06/11/2019,10/11/2019,1250,NA,27.3,20.2,8.1,13.1,14.8,3.7,1.6,1.5,1,NA,0.7,0.4,0.2,3.1,1.2
Hamalgama Métrica,04/11/2019,06/11/2019,10/11/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GESOP,04/11/2019,06/11/2019,10/11/2019,905,NA,26.8,19.9,7,13,15.6,3,1.5,NA,NA,NA,NA,NA,NA,2.6,1.3
ElectoPanel,03/11/2019,05/11/2019,10/11/2019,1250,NA,27.1,20.4,8.4,12.8,14.7,3.8,1.7,1.5,1.1,NA,0.7,0.4,0.2,3.1,1.3
