polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,pp,vox,sumar,erc,junts,basque_nationalist_party,eh_bildu,cup,c_ca,bng,upn,ev
Ipsos,22/07/2023,22/07/2023,23/07/2023,NA,NA,28.6,34.4,11.8,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
GESOP,20/07/2023,22/07/2023,23/07/2023,1200,NA,28.8,31.9,13.1,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sondaxe,20/07/2023,22/07/2023,23/07/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Target Point,20/07/2023,22/07/2023,23/07/2023,NA,NA,27.9,37.5,11.1,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
SocioMétrica,20/07/2023,22/07/2023,23/07/2023,6000,NA,29.1,32.4,13.8,13,2,1.8,1.4,1.3,0.6,0.4,0.9,0.1,0.2
GAD3,20/07/2023,22/07/2023,23/07/2023,10004,NA,28.6,35.5,12.7,11.9,2.2,1.9,1.5,1.3,0.6,0.4,0.8,NA,NA
SigmaDos,20/07/2023,22/07/2023,23/07/2023,17550,NA,28.9,34.2,11.2,13.3,2.7,2.3,1.7,1.6,0.7,0.4,0.5,NA,0.1
GESOP,19/07/2023,21/07/2023,23/07/2023,1200,69.3,28.5,32.7,13,14,2.1,1.5,NA,NA,NA,NA,NA,NA,NA
40dB,19/07/2023,21/07/2023,23/07/2023,2000,NA,29.4,31.7,13.8,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metroscopia,19/07/2023,21/07/2023,23/07/2023,3000,NA,28.4,35.3,13.1,11.9,2,1.9,1.3,1.1,0.6,0.3,0.7,0.2,0.1
GESOP,18/07/2023,20/07/2023,23/07/2023,1200,69.3,29,32,13,14,2,1.8,NA,NA,NA,NA,NA,NA,NA
GESOP,17/07/2023,19/07/2023,23/07/2023,1200,NA,28.5,31.5,13.5,14,2.2,1.8,NA,NA,NA,NA,NA,NA,NA
GESOP,16/07/2023,18/07/2023,23/07/2023,1200,NA,27.5,31,14.3,14.2,2.2,1.8,NA,NA,NA,NA,NA,NA,NA
KeyData,17/07/2023,17/07/2023,23/07/2023,NA,68,28,34.7,12.9,12.8,2.3,2,1.4,1.4,0.7,NA,NA,NA,NA
Data10,17/07/2023,17/07/2023,23/07/2023,1500,NA,27.5,36,12.5,12.5,2.1,2,NA,NA,NA,NA,NA,NA,NA
